Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
7,2,25.40000,425,BEN,R2,31/08/2019,25.202,23.587,15.56,BRYLEE (24.11),6.7725,466,M  C4,5.6,M,
4,6,25.80000,311,CRN,R2,04/09/2019,18.594,17.725,10.07,COUGHLIN'S LAW (17.89),10.1925,65,M  C4,9,M,
1,2,25.80000,400,WGL,R1,12/09/2019,23.331,22.875,2.96,CHILL OUT DUSTY (23.54),8.47,11,Q  C1,7.3,T3-M,
S,,,350,HVL,R2,17/09/2019,,19.424,-,GRUMPY DEREK (19.61),,,,0,M,
6,6,25.30000,440,SLE,R10,19/09/2019,25.699,24.865,6.36,GO TANGO (25.25),5.5245,565,M  C1,39.3,X67H,
3,3,25.60000,400,WGL,R4,26/09/2019,23.273,22.578,4.71,WEEONA YOSHI (22.94),8.6185,55,M  C1,4.6,T3-7,
2,3,25.50000,400,WGL,R4,03/10/2019,22.949,22.508,2.66,SHOWBOAT CAPERS (22.76),8.51,33,M  C1,5.5,T3-7,
3,2,25.50000,440,SLE,R3,06/10/2019,25.788,24.933,11.89,BONAFIDE (24.96),5.4295,544,M,16.2,X67,
7,7,26.00000,440,SLE,R9,13/10/2019,26.445,24.828,14.51,BLAZING FLORA (25.43),5.5105,677,Q  C1,48,X67H,
6,7,26.40000,515,SAP,R8,20/10/2019,30.819,29.554,15.99,GLORIOUS (29.70),5.215,3556,Q  C8,42.8,RWH,
4,1,26.00000,460,WGL,R5,24/10/2019,26.607,25.783,4.97,BIGWIG (26.26),6.7225,222,Q  C4,2.2,T3-7,
R,,,400,WGL,R9,29/10/2019,,22.413,-,GOTHAM DUCHESS (22.54),,,,0,7,
A,5,,311,CRN,R3,25/11/2019,,,-,,,,,5,T3-7,
1,8,26.00000,400,WGL,R3,28/11/2019,23.071,22.948,0.20,BOMBER'S WONDER (23.09),8.5575,22,M,3.4,T3-RW,
7,6,26.20000,300,HVL,R10,02/12/2019,17.423,16.884,7.70,FLASH PAWS (16.88),4.0465,6,M  C4,7.7,X67,
6,2,26.00000,390,SHP,R4,06/12/2019,23.123,22.263,7.46,TWILIGHT CONNIE (22.60),8.8275,46,M  C8,23.1,X67H,
6,2,26.40000,311,CRN,R9,09/12/2019,19.013,17.824,5.74,VICTOR LEONE (18.61),10.46625,76,S  C4,2.1,T3-6,
6,7,26.10000,515,SAP,R9,15/12/2019,30.466,29.33,15.29,WELSLY BALE (29.40),5.2545,5676,M  C4,36.3,SH,
