Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,1,27.60000,300,HVL,R1,08/03/2019,17.139,16.691,2.26,HARDAWAY GEORGE (17.30),4.102,3,S  C1  SW,8.2,MAPM,
S,,,311,CRN,R2,11/03/2019,,17.697,-,HESTON FLYER (18.36),,,,0,MAPM,
2,5,28.10000,311,CRN,R9,25/03/2019,18.339,18.18,0.01,PARTY MUSCLES (18.34),10.0845,32,M  C1,4.2,7APM,
4,7,27.90000,440,SLE,R9,31/03/2019,25.69,24.776,7.37,AMERICAN MOVIE (25.17),5.595,544,S  C4  V0,24,X67H,
1,3,27.80000,460,WGL,R7,18/04/2019,26.685,25.945,1.61,OWLETTE (26.80),6.7645,322,M  C1,10.7,RWAPM,
7,5,27.80000,515,SAP,R4,21/04/2019,30.486,29.405,6.66,BALLISTIC YAALA (30.02),5.14175,2456,M  C5,35.2,X67H,
6,7,27.60000,300,HVL,R2,12/05/2019,17.372,16.668,10.06,GUNAI GYPSY (16.67),4.0945,6,M  C5,4.3,X67,
F,3,27.70000,311,CRN,R9,15/05/2019,,17.578,-,ASTON SAMSON (18.15),,,M  C7  V7,6,RWH,
S,,,311,CRN,R3,18/05/2019,,17.535,-,INTER MIMI (17.89),,,,0,X67,
A,1,,350,HVL,R3,26/05/2019,,,-,,,,,8,X67,
5,8,28.10000,300,HVL,R9,31/05/2019,17.514,16.821,5.79,SHIRDALE TOM (17.11),4.085,3,M,7.6,6APM,
S,,,300,HVL,R10,07/06/2019,,16.757,-,TYCHE ONYX (17.02),,,,0,RWAPM,
7,1,28.70000,300,HVL,R10,17/06/2019,17.453,16.725,10.21,DIRTY STELLA (16.74),4.2415,7,S  V0,7.3,6G,
8,4,28.60000,300,HVL,R4,21/06/2019,17.856,16.869,8.00,TENNYSON GIRL (17.30),,,M  C1,22.4,RWAPM,
6,3,28.60000,300,HVL,R3,23/06/2019,17.597,16.652,6.57,NORTHERN MOON (17.14),,,M  C1,10.5,X67,
6,4,28.80000,400,WGL,R3,27/06/2019,23.759,22.914,6.93,MERAKI (23.27),8.83925,55,M  C1,12.3,T3-RW,
S,,,515,SAP,R3,30/06/2019,,29.341,-,HEDONISTIC (30.27),,,V7,0,RWH,
1,2,28.20000,311,CRN,R9,08/07/2019,18.39,17.896,1.33,PIPARAE (18.48),10.1,11,M,9.6,6APM,
3,7,28.50000,400,WGL,R9,11/07/2019,23.483,22.955,3.09,STYLISH EVIE (23.27),8.6225,33,M  C1  SW,10.4,T3-RW,
S,,,300,HVL,R9,15/07/2019,,16.579,-,SPACE ALERT (16.83),,,V14,0,5H,
7,1,26.80000,311,CRN,R9,20/09/2019,18.807,17.72,7.67,COOL DE BEERS (18.27),10.28575,77,M  V0,3.1,T3-5,
S,,,311,CRN,R7,28/09/2019,,18.064,-,LEKTRA MISS (18.29),,,,0,T3-5,
7,6,27.20000,311,CRN,R12,14/10/2019,19.05,17.936,15.91,TAKE A DAISY (17.94),10.28,77,M  C4,15.2,T3-RW,
7,5,27.10000,400,WGL,R10,24/10/2019,24.155,22.605,18.37,SMOKE SIGNALS (22.87),8.88775,88,M  C7,15.4,T3-5,
7,3,27.20000,311,CRN,R4,28/10/2019,19.458,17.907,15.07,LADY ALLIANCE (18.40),10.55,77,M  C4  V0,15.5,T3-5,
S,,,400,WGL,R4,31/10/2019,,22.746,-,JUSTIN ROSE (23.09),,,,0,T3-RW,
6,2,26.70000,300,HVL,R12,15/12/2019,17.728,16.34,13.34,OCEAN MASTER (16.79),4.0675,6,M,61.6,5,
R,,,311,CRN,R10,18/12/2019,,,-,,,,,,5,
