Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,2,27.80000,278,LCN,R1,19/03/2018,16.38,16.38,0.10,FERNANDO RHYTHM (16.39),5,0,B2,5.1,6,
2,8,27.80000,340,HOB,R4,29/03/2018,19.63,19.3,4.75,JACKS HIGH (19.30),,0,,8.5,6,
3,1,27.40000,340,HOB,R4,19/04/2018,20.01,19.31,2.00,DANCING BAREFOOT (19.86),,0,B XW,2,6,
8,4,27.30000,311,CRN,R3,23/05/2018,18.8,17.752,7.41,GO ZIPPY GO (18.28),10.453,88,M  SW,6.8,7,
6,7,27.40000,311,CRN,R9,26/05/2018,18.531,17.69,7.84,LOVE LAUGHING (17.98),10.19,44,S  C8,4.9,X67,
7,7,27.20000,315,TRA,R2,01/06/2018,19.095,18.281,10.43,ENZO (18.37),5.0195,87,M  C1,22,X67,
S,,,311,CRN,R3,06/06/2018,,17.72,-,BUSTA MIKADO (17.99),,,,0,X67,
8,7,26.60000,350,HVL,R3,15/07/2018,20.355,18.928,14.14,COBBER VICTOREM (19.37),6.8355,6,M  C5,34.6,RWH,
8,4,27.40000,315,TRA,R9,23/07/2018,19.42,18.331,15.56,VALLEY REAPER (18.33),5.02225,86,M  C5,17.9,X67,
8,5,27.40000,300,HVL,R10,29/07/2018,17.251,16.55,6.93,SOOTY'S OPAL (16.77),4.0055,6,M,50,X67,
R,,,311,CRN,R1,25/08/2018,,17.701,-,SIMPLY SMARTER (17.94),,,,0,X67,
R,,,300,HVL,R2,07/09/2018,,16.787,-,JANRAY FLASH (17.15),,,,0,7,
3,1,27.80000,400,WGL,R3,27/09/2018,23.315,22.724,3.73,SHADY THIEF (23.05),8.32,11,Q,16.8,T3-7,
R,,,450,BAL,R5,01/10/2018,,25.637,-,BALL BEARING (25.67),,,,0,7APM,
4,8,28.30000,395,TRA,R4,08/10/2018,23.646,22.875,1.07,ANN CHERIE (23.57),5.0875,544,M  C5,10.9,T3-7,
R,,,400,WGL,R9,10/10/2018,,22.629,-,AMLIN TEDDY (22.63),,,,0,7APM,
