Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
R,,,390,SHP,R1,18/07/2019,,22.105,-,SONOMA ICON (22.85),,,,0,M,
5,7,33.20000,390,BAL,R2,22/07/2019,23.677,22.521,11.50,YELLER BALE (22.87),9.32,77,M  C4,11.5,MAPM,
3,8,33.20000,425,BEN,R2,24/07/2019,25.013,24.263,3.26,FLOYD HAYWEATHER (24.79),6.89875,322,M  C1  V7,13.6,MAPM,
S,,,300,HVL,R3,26/07/2019,,16.874,-,AWAKENED DRAGON (17.37),,,,0,RWAPM,
8,1,33.20000,390,SHP,R1,05/08/2019,23.529,22.26,17.76,MERCY MERCY (22.29),9.1345,57,M  C6,21.7,T3-M,
2,6,33.70000,390,SHP,R2,12/08/2019,22.898,22.408,6.36,SELECT PATTERN (22.45),8.7325,32,M  C1,25.3,T3-M,
6,8,33.50000,425,BEN,R2,14/08/2019,25.193,24.118,15.36,INK SPOT (24.12),6.87,224,M,17.9,T3-M,
5,2,33.40000,300,HVL,R2,16/08/2019,18.231,16.677,12.17,LIGHTFOOT LASS (17.38),4.30175,4,S  V7,5.8,T3-M,
S,,,390,SHP,R1,19/08/2019,,22.328,-,CAMO REX (22.33),,,,0,T3-M,
R,,,300,HVL,R2,23/08/2019,,16.736,-,BETH ABLAZE (17.11),,,,0,T3-M,
R,,,390,SHP,R2,26/08/2019,,22.278,-,FLETCHER JAY (22.28),,,,0,T3-M,
4,1,32.90000,425,BEN,R1,28/08/2019,25.018,24.132,9.41,MY NAMES DARYL (24.36),6.8,123,Q  C1,13.6,T3-M,
8,5,33.10000,300,HVL,R2,30/08/2019,17.811,16.845,8.69,I'M ANOTHER WHIZ (17.20),4.22275,8,S  C5,14,T3-M,
4,8,32.90000,425,BEN,R1,04/09/2019,24.683,24.15,2.89,NEW CROSS GATE (24.48),6.74,222,M  C1,11.8,T3-M,
5,4,33.10000,390,SHP,R2,07/09/2019,23.057,22.612,3.96,SOMETHING SPICEY (22.78),8.7125,33,M,12.1,T3-M,
2,1,32.80000,425,BEN,R1,11/09/2019,24.552,24.048,0.61,ASTON SAVANNAH (24.51),6.73175,211,M,12,T3-M,
3,3,33.40000,300,HVL,R1,13/09/2019,17.421,16.756,4.93,SPRING SILVER (17.08),4.08,2,M  C1,8.2,T3-M,
T,1,33.50000,390,SHP,R1,16/09/2019,,22.473,-,PONTIAC ICON (22.95),9.23,77,M  C7  V0,4.1,T3-M,
6,6,33.50000,425,BEN,R1,18/09/2019,25.377,24.074,13.04,YANDERRA AZALIA (24.46),6.89675,667,M  C1,6.1,T3-M,
A,6,34.10000,300,HVL,R2,20/09/2019,,17.46,-,,,,M,4.2,T3-M,
