Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
S,,,440,SLE,R1,27/10/2018,,24.995,-,KNOCK THE CLOCK (25.23),,,,0,M,
6,5,30.60000,400,GEL,R2,07/11/2018,24.068,22.455,9.94,TONI TONI TONI (23.37),9.08175,85,M  C12,7.1,M,
2,6,30.70000,390,BAL,R1,12/11/2018,22.948,22.252,3.69,TIBIALIS (22.69),8.9095,52,M,14.5,MAPM,
6,2,30.00000,350,HVL,R3,16/11/2018,20.072,19.452,8.86,INTER CODY (19.45),6.7955,5,M  C6,4,M,
3,6,30.80000,390,BAL,R2,19/11/2018,23.006,22.091,5.11,CHACHI ARCOLA (22.65),9.11,54,S  C1,5,T3-M,
R,,,390,WBL,R1,22/11/2018,,22.467,-,TURBO TONY (22.63),,,,0,RW,
6,2,30.80000,450,BAL,R4,26/11/2018,26.04,25.399,5.07,CLARETOWN LILLY (25.69),6.7325,344,M  C1,9.8,M,
1,2,30.90000,390,BAL,R1,03/12/2018,22.851,22.526,1.69,STORMING VIXEN (22.97),8.7675,31,M,7.8,M,
S,,,400,GEL,R2,04/12/2018,,22.751,-,PLAYLORD (23.11),,,,0,T3-M,
6,3,30.90000,400,GEL,R4,07/12/2018,23.223,22.519,8.67,LATINIZE (22.62),8.67,63,M  C4,44.8,X67,
6,1,31.20000,390,BAL,R2,10/12/2018,23.072,22.251,9.39,FLYING JAMAICA (22.42),8.815,86,M  V14,14.4,T3-7,
R,,,390,BAL,R3,24/12/2018,,22.365,-,YEPPY ALLEN (22.77),,,,0,T3-7,
S,,,400,WGL,R4,28/12/2018,,22.864,-,PRINCESS AMERICA (23.17),,,,0,7,
2,3,31.50000,390,BAL,R2,31/12/2018,23.003,22.374,5.14,SKY RISING (22.64),8.711,65,M  C4,4.7,T3-7,
S,,,425,BEN,R2,05/01/2019,,23.931,-,RIDE HIGH (24.13),,,,0,X67,
3,4,31.60000,400,GEL,R4,15/01/2019,23.2,22.67,7.43,SKY WESLEY (22.68),8.599,43,M  C1,17.9,T3-7,
6,4,31.30000,450,SHP,R3,19/01/2019,26.432,25.074,8.86,ZERO TO HERO (25.81),6.9895,886,Q  C4  V28,30.9,7,
S,,,400,GEL,R2,22/01/2019,,22.755,-,HAPPY RAGE (22.80),,,,0,RW,
1,1,32.40000,395,MBR,R2,24/04/2019,22.7,22.43,3.50,ONE FOXY MISSILE (22.95),5.22,421SAMP,421SAMP,3.6,6,
1,7,32.80000,388,APK,R2,29/04/2019,22.33,22.27,4.75,EXCAVATOR (22.66),10.14,6111,6111,5,6,
1,7,33.20000,455,MBR,R10,05/05/2019,25.83,25.46,2.75,ANOTHER VADER (26.03),8.18,111,111,2.5,6,
1,3,33.30000,455,MBR,R5,12/05/2019,25.7,25.35,3.50,MAX POTION (25.95),8.09,111,111,2.4,2,
6,4,33.60000,515,APK,R7,20/05/2019,30.38,29.46,3.75,CAIRNLEA BLUE (30.12),4.61,66666,66666,5.5,6,
