Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,8,34.00000,450,BAL,R1,18/07/2018,25.582,25.368,0.93,RILEY'S PAIGE (25.65),6.59,111,M  SW,11.4,MH,
S,,,450,BAL,R1,25/07/2018,,25.246,-,GREY GHOST (25.25),,,,0,MSF,
S,,,450,BAL,R3,15/08/2018,,25.426,-,UPRISING (25.68),,,,0,X67H,
1,5,34.70000,450,BAL,R2,05/09/2018,25.403,25.263,2.20,SILLY MILLY (25.56),6.55,111,M,5.2,X67,
5,6,34.60000,425,BEN,R4,14/09/2018,24.468,23.907,3.57,MYRNIONG AND ALL (24.22),6.68,122,M  C2  SW,4.9,RWH,
S,,,390,BAL,R9,24/10/2018,,22.216,-,BIDE YOUR TIME (22.41),,,,0,X67,
1,2,34.90000,390,WBL,R9,08/11/2018,22.162,22.017,3.01,BLOCKETTE (22.37),8.58,11,M,1.3,X67,
1,8,35.10000,450,WBL,R7,15/11/2018,25.39,25.234,3.41,BINGO BOON (25.63),6.52,111,M,1.6,5,
1,1,35.20000,450,WBL,R6,22/11/2018,25.534,25.534,1.89,LUCILLE DIOR (25.67),6.5,111,M,3.3,X45,
3,8,35.60000,450,BAL,R7,08/12/2018,25.588,24.944,2.99,KOUTA MAYHEM (25.38),6.75875,633,S  C4  V60,3.8,X45,
3,1,36.10000,390,WBL,R7,10/04/2019,22.209,21.862,2.96,RUNNIN' ROYALTY (22.00),8.5,22,M,3.4,5H,
R,,,390,WBL,R9,18/04/2019,,21.756,-,HOT JEAN (22.05),,,,0,5F,
4,1,35.80000,450,WBL,R3,24/04/2019,25.448,24.937,4.96,WHISKEY RIOT (25.10),6.5875,222,M  C5,10.1,SH,
1,4,35.70000,390,WBL,R11,09/05/2019,22.475,22.417,6.57,CALL ME BUBBLES (22.94),8.55,11,M,1.6,5,
3,2,35.50000,450,BAL,R7,15/05/2019,25.655,25.084,1.06,BLACK KRUGER (25.58),6.56,111,M  V0,1.7,5,
6,1,35.50000,450,WBL,R5,30/05/2019,26.025,25.582,6.33,EMERALD RAINBOW (25.58),6.53,113,M  C4,2.4,X34,
6,4,34.90000,425,BEN,R9,30/06/2019,24.626,23.541,12.36,RUNNIN' ROYALTY (23.76),6.61975,556,M  C7,28,SH,
2,7,33.00000,300,HVL,R4,17/11/2019,16.98,16.747,0.69,SUPERIOR CHARRY (16.93),3.91,1,M  SW,2.1,5,
3,1,33.40000,300,HVL,R12,24/11/2019,16.92,16.722,1.50,KIREINA (16.82),3.91,1,M,1.4,5,
S,,,300,HVL,R12,15/12/2019,,16.34,-,OCEAN MASTER (16.79),,,,0,5,
