Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,1,27.70000,311,CRN,R1,10/05/2017,18.266,17.79,3.81,BEKIM INSTINCT (18.53),9.93,11,M,3,MH,
F,1,27.80000,311,CRN,R1,17/05/2017,,17.695,-,MISS KIRTEISH (18.07),,,S  V7,3.1,MF,
8,3,27.30000,311,CRN,R3,21/06/2017,19.175,17.881,13.50,NOLITA NELLY (18.23),10.7175,78,M  C8,10.2,7,
7,4,27.40000,400,GEL,R10,14/07/2017,23.363,22.504,10.71,CHARDY (22.61),8.7775,76,M  C4,36.8,X67,
R,,,300,HVL,R3,23/07/2017,,16.585,-,SHORT BLOND HAIR (16.59),,,,0,X67,
S,,,350,HVL,R4,28/07/2017,,19.363,-,EVE EVIE (19.66),,,,0,7,
S,,,390,SHP,R4,14/08/2017,,22.184,-,SWIFT KNOCKOUT (22.88),,,,0,7,
3,2,28.20000,350,HVL,R4,18/08/2017,19.988,19.505,2.96,BRAVE INNINGS (19.78),6.67,2,M,12.1,7,
6,1,27.90000,350,HVL,R4,25/08/2017,20.149,19.462,8.31,SARGENT (19.57),6.78675,4,M  C4,6.3,X67,
7,5,28.10000,300,HVL,R2,29/09/2017,17.183,16.398,9.41,IONA REGIS (16.52),3.997,5,M  C1,8.5,7,
4,4,28.20000,400,GEL,R9,03/10/2017,23.265,22.712,7.90,DESTINI TRUCKER (22.71),8.807,54,M  C1,12.2,T3-7,
6,3,28.50000,350,HVL,R3,06/10/2017,20.355,19.496,9.19,SCARLET'S SECRET (19.71),6.7735,3,M  C1,17.8,7,
1,8,28.60000,350,HVL,R4,13/10/2017,19.759,19.55,0.69,RATTLE GATE (19.81),6.6,1,Q,7.9,7,
2,6,29.10000,425,BEN,R10,18/10/2017,24.121,23.976,2.07,JET BLASTER (23.98),6.557,222,M  C4,9,T3-7,
4,2,29.00000,350,HVL,R5,20/10/2017,20.022,19.315,8.07,SCARLET'S SECRET (19.46),6.66,2,M  C1,7.1,6G,
2,4,29.30000,300,HVL,R3,27/10/2017,16.769,16.588,0.30,MISS PREMIER (16.75),3.9025,3,M  C2,2,X67,
7,4,29.50000,300,HVL,R2,29/10/2017,17.285,16.371,6.79,TALLY HO LEN (16.81),4.01125,6,M  C5,3.3,X67H,
7,7,29.20000,410,HOR,R2,05/11/2017,24.248,23.402,11.83,FASTER BOLT (23.42),10.5075,46,M,15,X67,
4,7,29.60000,300,HVL,R10,10/11/2017,17.137,16.82,2.93,SHADAE (16.93),3.9945,3,M  C2,2.8,6G,
2,3,30.20000,425,BEN,R8,15/11/2017,24.64,23.842,4.23,SNAPCHAT QUEEN (24.34),6.7425,233,M  C1,2.7,6G,
2,6,29.90000,300,HVL,R10,24/11/2017,17.02,16.651,1.14,SUBSCAPULARIS (16.94),3.96,1,M  C1,2.3,6G,
7,8,30.20000,425,BEN,R11,29/11/2017,24.951,24.201,10.71,KING'S FURY (24.20),6.88825,788,M,2.9,T3-6,
6,8,29.80000,311,CRN,R2,06/12/2017,18.467,17.594,10.46,GO WILMA GO (17.74),10.1215,75,M  C1,8.6,X67H,
3,1,30.10000,300,HVL,R3,08/12/2017,17.435,16.762,1.01,LIREVA (17.36),4.0035,2,M,2.8,6G,
4,8,30.10000,300,HVL,R9,15/12/2017,17.107,16.674,2.93,SOLAR ON (16.90),3.9825,3,M  SW,3.3,X67,
F,6,29.90000,390,SHP,R10,21/12/2017,,22.179,-,SECRET BUSINESS (22.36),8.857,5,M  C4  V5,34.4,RWH,
6,1,30.10000,300,HVL,R3,29/12/2017,17.486,16.783,2.91,KRAZY BLAZE (17.28),4.0525,3,M  C8,3,X67,
2,4,30.40000,300,HVL,R11,05/01/2018,17.048,16.623,2.04,SPOT MY KEY (16.91),3.95,1,M,9,6G,
8,3,30.40000,300,HVL,R3,07/01/2018,17.48,16.651,6.31,AGENT OSTI (17.04),4.034,7,M,47.2,RWH,
R,,,425,BEN,R9,13/01/2018,,23.807,-,HE'S OKAY (24.15),,,,0,RWH,
1,8,30.60000,425,BEN,R11,17/01/2018,24.365,24.201,0.07,KLONDIKE GOLD (24.37),6.64,111,M  C1  SW,2.9,6G,
6,3,30.80000,425,BEN,R12,24/01/2018,25.053,24.083,10.24,BLUE ODESSA (24.34),7.005,666,M  C4,4.6,T3-5,
7,6,30.60000,300,HVL,R12,26/01/2018,17.35,16.59,8.27,SUBSCAPULARIS (16.77),3.9535,4,M  C5,23.6,5,
7,6,30.50000,300,HVL,R6,09/02/2018,17.39,16.835,7.93,SHOWTIME SALLY (16.84),4.01,4,M  C1,26.1,X45,
2,1,29.50000,330,TEM,R3,03/03/2018,19.34,18.89,0.75,TIGGERLONG BEAR (19.29),,0,,3,X45,
2,8,29.20000,300,HVL,R11,09/03/2018,17.106,16.592,1.07,LEGAL (17.03),3.96275,4,M,7.7,5,
3,2,28.70000,300,HVL,R9,23/03/2018,17.023,16.646,5.39,EAR WE COME (16.65),4.0075,3,M,11.3,RWH,
3,1,28.80000,300,HVL,R12,29/03/2018,17.046,16.768,2.33,OLIVER CRUISE (16.88),4.0075,3,M,16.4,5,
1,3,28.40000,300,HVL,R4,06/04/2018,16.987,16.908,2.80,EMILY SKYE (17.18),3.9235,2,M  SW,7.1,5,
2,5,28.60000,300,HVL,R11,15/04/2018,16.885,16.584,2.94,WEASLEY GRANGE (16.68),3.9425,2,M,19.2,5,
6,8,28.70000,300,HVL,R10,22/04/2018,17.009,16.606,5.40,WAZZA HAWK (16.63),3.92,1,M  W,8.6,RWH,
1,7,28.40000,390,SHP,R12,26/04/2018,22.237,22.021,1.76,MARLOW'S ANGEL (22.36),8.36,11,M,22.2,5,
3,6,28.40000,450,SHP,R6,10/05/2018,25.9,25.388,3.50,SCOTT IT (25.66),6.68,111,M,12.1,5,
6,5,28.50000,450,SHP,R4,19/05/2018,26.173,25.27,12.90,STRIKING WEETBIX (25.27),6.7015,666,M  C2,17.4,5,
8,1,28.80000,450,SHP,R5,31/05/2018,26.198,24.934,6.03,QUICK SESSION (25.78),6.802,655,M  C4,21.4,5,
7,7,28.50000,425,BEN,R5,08/06/2018,24.719,24.088,6.81,KUNG FU HUSTLE (24.24),7.142,887,M,26,5,
7,8,28.60000,350,HVL,R9,10/06/2018,19.808,19.007,4.47,RHOMBOID (19.50),6.6985,5,M,10.3,5,
4,7,28.40000,330,TEM,R3,16/06/2018,19.52,19.05,4.75,HIPPO CLAN (19.18),,,,4,X34,
R,,,300,HVL,R11,24/06/2018,,16.621,-,MEPUNGA DASHA (16.97),,,,0,5,
6,8,28.40000,390,SHP,R9,28/06/2018,22.618,22.022,8.51,AWESOME SHEP (22.02),8.8,77,S,29.4,FFA,
4,5,28.00000,300,HVL,R12,08/07/2018,17.296,16.64,3.71,MAGGIE MIKADO (17.04),4.0225,2,M  C2,8.6,5,
5,8,28.30000,350,HVL,R8,13/07/2018,19.783,19.43,3.69,CLOVERLAY (19.53),6.6725,2,M,18.2,5,
7,2,27.90000,425,BEN,R5,18/07/2018,24.774,24.173,6.10,SWELL IT IS (24.35),6.9045,457,M  C6,9.5,5,
R,,,300,HVL,R11,03/08/2018,,16.715,-,UNCATCHABLE (16.82),,,,0,5,
4,1,28.20000,300,HVL,R11,10/08/2018,16.807,16.647,1.53,TRICKY TRON (16.70),4.0255,6,M  C4,9.1,5,
5,4,28.10000,350,HVL,R5,12/08/2018,19.533,18.903,9.00,EYE GOT IT (18.90),6.585,3,M,51.5,SH,
R,,,300,HVL,R11,17/08/2018,,16.634,-,SUPERIOR MARTINI (16.63),,,,0,5,
6,2,28.00000,300,HVL,R12,19/08/2018,17.366,16.69,4.31,JOANIE'S JOHNNY (17.06),4.07375,5,M  C4,4.3,5,
3,3,27.40000,400,GEL,R12,21/08/2018,23.2,22.808,3.30,HA HA GOTCHA (22.97),8.8275,73,M  C8  SW,2.2,T3-5,
5,3,27.30000,300,HVL,R4,24/08/2018,17.168,16.834,2.90,SHAKE THE NIGHT (16.97),4.0225,5,M  C2,31.1,5,
S,,,525,MEP,R6,29/08/2018,,29.966,-,EMERALD RAINBOW (30.23),,,,0,5,
8,6,27.40000,350,HVL,R10,09/09/2018,20.102,18.779,15.21,LEICA CALI KING (19.04),6.7575,4,M,40.6,5H,
3,5,27.20000,400,GEL,R10,11/09/2018,23.262,22.511,3.20,INGA TED (23.04),8.56675,46,M  W  C4,4.5,T3-5,
7,4,27.60000,525,MEP,R5,19/09/2018,31.691,30.146,17.59,MISS PEPPERJACK (30.46),5.415,7777,M  C6  V5,66.5,5H,
4,1,28.00000,350,HVL,R5,30/09/2018,19.953,19.049,2.56,BIG DEAL (19.73),6.742,4,M  C5,32.3,5,
R,,,300,HVL,R12,07/10/2018,,16.65,-,EUREKA OSTI (16.84),,,,0,5,
7,5,28.10000,400,GEL,R10,09/10/2018,23.626,22.961,5.64,HERE COMES TOM (23.23),8.71675,55,M  C5,16.5,T3-5,
4,7,27.50000,300,HVL,R11,12/10/2018,17.232,17.053,2.19,OLIVER CRUISE (17.08),4.014,5,M  C1,6.3,5,
4,5,27.30000,350,HVL,R7,19/10/2018,19.662,19.17,7.03,MR. DIAZ (19.17),6.6225,3,M  C2,18.3,5,
7,3,27.30000,350,HVL,R7,26/10/2018,19.939,19.378,8.01,TOSS AND TURN (19.38),6.7445,4,M  C5,16.3,5,
7,4,27.80000,450,SHP,R10,03/11/2018,26.368,24.959,14.23,BOQUILLA (25.37),6.6525,344,M  C8  V0,50,5H,
5,2,27.80000,350,HVL,R6,09/11/2018,19.66675,19.49,2.52,STRIKER VARDY (19.49),6.7425,3,M  C4,8.9,5,
1,7,28.20000,400,GEL,R12,13/11/2018,23.054,22.78,0.09,MERL'S BLAZE (23.06),8.5275,21,M  C1  SW,4.8,T3-5,
5,7,28.40000,425,BEN,R10,21/11/2018,24.54,23.942,3.26,GREAT SUCCESS (24.31),6.811,755,S  C1,14.9,5,
R,,,300,HVL,R10,26/11/2018,,16.68,-,SUPERIOR SCOTCH (16.68),,,,0,5,
4,2,28.40000,300,HVL,R10,02/12/2018,16.929,16.54,4.66,HUNGRY AN' HOLLO (16.60),3.937,2,M  C1,23.6,5H,
2,4,28.40000,425,BEN,R11,05/12/2018,24.197,24.102,1.36,LANCOME LADY (24.10),6.6625,442,M  C1,11.6,T3-5,
3,8,28.40000,425,BEN,R7,12/12/2018,24.285,23.801,2.39,ZIPPING AMBER (24.12),6.702,344,M  C2,17.6,5,
3,8,28.80000,300,HVL,R12,16/12/2018,16.834,16.597,1.59,STAR HENNESSY (16.72),3.965,5,M,8.2,5,
R,,,450,SHP,R5,22/12/2018,,25.57,-,TAT JAMES (25.85),,,,0,5,
7,2,28.70000,525,MEP,R6,26/12/2018,31.115,30.053,7.91,HOOKED ON YOU (30.56),5.345,4446,M  C5,3.4,5,
2,2,29.00000,300,HVL,R12,03/01/2019,16.815,16.61,2.93,SUPERIOR SAM (16.61),3.93,1,M  C1,7.5,5,
5,6,29.20000,300,HVL,R12,06/01/2019,17.093,16.528,2.91,BOOMING ZULUS (16.89),4.0245,4,M  C4,7.3,5,
4,5,29.40000,425,BEN,R7,11/01/2019,24.693,23.613,14.54,HUNGRY AN' HOLLO (23.68),6.9115,654,S,23.6,5H,
8,7,29.10000,400,GEL,R10,15/01/2019,23.591,22.67,11.19,GOJEK (22.81),8.7985,78,M  W  C7,9.3,T3-5,
S,,,350,HVL,R8,18/01/2019,,19.512,-,BALLY BECKHAM (19.56),,,,0,5,
6,6,29.20000,300,HVL,R11,01/02/2019,17.464,16.826,6.24,HIT 'N' SPLIT (17.03),4.1125,5,M  C5,6.5,5,
1,7,29.20000,450,SHP,R7,07/02/2019,25.619,25.215,0.19,COBBER VICTOREM (25.63),6.79,221,M  SW,20.9,5,
R,,,300,HVL,R11,10/02/2019,,16.633,-,WEEONA JIMMY (16.68),,,,0,5,
4,3,28.80000,425,BEN,R11,14/02/2019,24.446,24.045,2.79,MOLLY SPOLLY (24.25),6.6475,235,M,6.1,5NP,
8,5,30.00000,300,HVL,R2,07/04/2019,17.128,16.388,5.06,FRUIT FRAMES (16.77),4.031,6,M,13.6,5,
