Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
3,2,25.90000,311,CRN (Q),R5,12/12/2016,18.329,17.56,3.63,GOLDEN GUN (18.08),,,M,,MQH,
S,,,460,WGL,R2,29/12/2016,,26.438,-,ELLEN'S STARDUST (26.61),,,,0,AMM,
2,4,24.60000,311,CRN,R2,08/03/2017,18.125,17.446,1.83,CREATIVE MOVES (18.00),9.97,22,M  SW,4.1,MH,
S,,,311,CRN,R1,15/03/2017,,17.537,-,HELLO CODY (17.74),,,,0,MF,
1,1,25.20000,440,SLE,R1,23/04/2017,25.139,24.978,1.54,DESTROYER (25.25),5.3,111,M,2.7,M,
3,3,25.40000,515,SAP,R4,07/05/2017,30.275,29.372,10.21,SHADALE (29.56),5.12,2222,M,4.7,7,
3,8,25.40000,440,SLE,R2,28/05/2017,25.546,24.648,4.03,DAVA SUPREME (25.26),5.407,543,M  C1,2.9,7,
1,4,25.10000,520,SLE,R4,04/06/2017,29.708,29.482,0.46,WHODAT MAGIC (29.74),9.71,322,M  SW,3.7,7,
1,4,25.20000,460,WGL,R3,13/06/2017,26.014,25.722,0.61,KYLIE'S BOY (26.06),6.55,111,Q,4.9,6G,
6,8,25.40000,520,SLE,R7,18/06/2017,29.872,29.602,2.16,OUR BRAVO ROSE (29.72),9.754,777,S  C1,6.2,RW,
S,,,460,WGL,R6,27/06/2017,,25.473,-,MONSTER JAM JACK (25.99),,,,0,5,
1,1,25.60000,520,CRN,R5,12/07/2017,30.812,29.63,2.20,QUICK STEP (30.97),5.4775,2331,Q  C1,1.9,5,
6,2,25.90000,515,SAN,R9,20/07/2017,30.547,29.457,8.56,VERY CHOOSY (29.95),5.2075,4467,M  C1  SW,6.7,5,
8,2,26.40000,520,SLE,R8,25/07/2017,30.396,29.455,10.10,ZIPPING KANE (29.69),10.045,777,M  C8,7.2,X45,
4,5,25.80000,525,TRA,R6,18/08/2017,31.231,30.589,9.17,COSMIC TILLY (30.59),5.01625,8565,S  C1,14.4,5H,
6,7,25.60000,525,TRA,R5,25/08/2017,30.92,30.327,8.47,EMPIRE ENTOURAGE (30.33),5.04575,7666,S  C5,26,5F,
8,6,25.70000,520,SLE,R10,03/09/2017,30.214,29.446,4.49,LAURENTIDE ICE (29.90),9.682,556,S,3.1,5,
3,5,25.40000,460,WGL,R9,17/10/2017,26.246,25.791,6.50,HE SHALL FRED (25.79),6.64175,233,M  C4,24.2,5H,
2,4,25.40000,460,WGL,R12,24/10/2017,26.199,25.614,4.14,LITTLE JEBRYNAH (25.91),6.7895,433,M,8.6,5,
5,6,25.70000,515,SAP,R12,29/10/2017,30.162,29.469,4.66,CRAZY JO JO (29.84),5.273,5456,M  C1,34.8,5H,
