Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
3,8,25.50000,525,MEP,R1,11/09/2019,30.988,29.929,8.63,SILENT DISMISSAL (30.38),5.2415,4333,M  C1,20.9,MH,
S,,,440,SLE,R3,15/09/2019,,25.101,-,MINTER ZOOM (25.10),,,,0,M,
S,,,525,MEA,R1,21/09/2019,,30.069,-,CHUN LI (30.32),,,,0,MF,
5,4,25.30000,440,SLE,R2,04/10/2019,25.86,24.954,5.87,DUSTY HAYES (25.45),5.4,165,M  C4,10.8,MH,
2,5,25.30000,440,SLE,R10,20/10/2019,25.441,25.027,5.91,ASTON ONYX (25.03),5.367,322,M  C4,7.3,MH,
1,4,25.50000,440,SLE,R1,27/10/2019,25.281,24.758,0.80,KINDRA (25.34),5.34,121,M,5.6,M,
5,6,25.50000,460,WGL,R4,01/11/2019,26.86,25.757,13.60,ASTON TOPAZ (25.91),6.82925,888,S  C4,7,X67H,
2,7,25.60000,440,SLE,R3,05/11/2019,25.375,24.972,2.50,NICHOLAS ROSE (25.20),5.454,554,M  C5,3.9,7,
1,7,25.80000,440,SLE,R4,10/11/2019,25.197,24.899,1.20,HERE RUNS EMILIA (25.28),5.4,111,M,5.1,7,
8,6,25.80000,400,WGL,R4,12/11/2019,23.501,22.487,7.86,MISHA BALE (22.95),8.6155,66,S  C1,5.5,X67,
3,2,25.90000,440,SLE,R3,17/11/2019,25.165,24.857,1.73,DR. PUMA (25.04),5.35,233,M  C1,4.5,X67H,
F,5,25.60000,440,SLE,R4,24/11/2019,,24.798,-,NICHOLAS ROSE (25.11),5.3925,4,M  V5,17.5,X67F,
2,5,25.40000,440,SLE,R9,08/12/2019,25.338,24.841,3.64,DR. PUMA (25.08),5.3375,222,Q  C4,10.1,6G,
2,7,25.60000,440,SLE,R10,15/12/2019,25.101,24.67,1.81,OKAWA EYE CANDY (24.97),5.31,132,Q,7.5,X67H,
