Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,3,27.00000,390,SHP,R10,31/12/2018,22.497,22.339,0.89,BIG BARRA (22.44),8.6775,22,M  C2,1.8,M,
7,2,27.00000,425,BEN,R1,05/01/2019,25.054,23.931,16.04,FERNANDO'S RIOT (23.93),6.63,136,M  W  C3,4.5,M,
1,5,26.60000,410,HOR,R1,29/01/2019,23.541,23.248,2.47,WALLY MILNE (23.71),10.37,11,M  C1,3.9,M,
S,,,425,BEN,R1,01/02/2019,,23.373,-,WALLY MILNE (23.84),,,,0,MH,
8,7,26.40000,410,HOR,R3,05/02/2019,24.469,23.192,11.01,GREG'S CHOICE (23.70),10.92175,88,M  C8,3.9,X67,
1,8,26.20000,410,HOR,R3,12/02/2019,23.559,23.266,7.77,HAPPY RAGE (24.10),10.39,11,M,2.4,X67,
4,8,25.80000,410,HOR,R3,19/02/2019,23.936,23.228,1.30,KING LORRIMER (23.85),10.42875,45,M,1.9,X67H,
4,4,25.60000,410,HOR,R4,26/02/2019,23.679,23.216,1.77,KING LORRIMER (23.56),10.4725,22,M  C2,4.7,X67F,
R,,,410,HOR,R2,12/03/2019,,23.224,-,BARINYA (23.44),,,,0,X67,
6,6,25.20000,390,SHP,R2,14/03/2019,22.8,21.957,6.67,SOLID BLING (22.33),8.73925,78,M  C4,12.9,X67,
1,5,25.50000,485,HOR,R4,19/03/2019,27.749,27.565,1.86,ASHBY NIMBLE (27.88),6.59,133,M  C4,3.4,RW,
1,2,25.60000,485,HOR,R7,02/04/2019,27.164,27.164,2.13,DAT DAT DATY (27.31),6.54,111,M  SW,5.3,5H,
8,3,26.00000,525,MEP,R7,10/04/2019,30.972,29.922,11.69,LOCHINVAR DEUS (30.15),5.137,2588,M  C8  V5,4.3,5F,
8,2,26.40000,500,BEN,R9,17/04/2019,29.214,27.993,10.09,CINNAMON ROSE (28.51),6.6845,428,M  C4,4.6,SH,
1,3,26.50000,525,MEP,R5,25/04/2019,30.051,29.871,5.07,SPECIAL DROP (30.41),5.1,1111,M  SW,1.9,5,
8,5,26.90000,525,MEA,R4,04/05/2019,30.826,29.881,9.37,DYNA ALIA (30.17),5.15,3777,M  C4,6.5,5H,
2,1,27.00000,525,MEA,R12,11/05/2019,30.626,29.718,1.81,ROCKET STRIKE (30.50),5.24,2333,M,2,5,
5,2,27.50000,525,MEA,R12,18/05/2019,30.956,29.859,7.33,DYNA ARTIST (30.44),5.2175,2257,M  C1,4.7,5,
6,6,27.50000,485,HOR,R6,21/05/2019,27.84,27.376,6.63,RILEY'S PAIGE (27.38),6.655,446,M,5.7,RW,
7,8,27.10000,485,HOR,R5,09/07/2019,28.002,27.278,10.34,LEKTRA FIREBALL (27.28),6.775,667,M  C4,7.3,RWH,
5,6,27.10000,500,BEN,R8,13/07/2019,28.61,28.245,5.21,DESTINI CAVALIER (28.25),6.6925,335,M  C1,6.5,X45,
S,,,520,SLE,R4,14/07/2019,,29.928,-,FLYING MOSS (30.12),,,,0,5,
7,7,26.90000,525,MEA,R12,07/09/2019,31.039,29.953,10.30,TEZZALENKO (30.32),5.25425,3377,M  C5  SW,5.6,5,
6,2,26.80000,450,SHP,R5,12/09/2019,26.142,25.328,7.86,WOOLYBULLY KEATS (25.59),6.7485,576,M  C5,7.3,5H,
