Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
7,4,26.10000,400,WGL,R1,28/03/2019,23.569,22.428,11.60,INTER HELEN (22.76),8.4595,47,Q  C4,11.4,MAPM,
5,7,26.70000,440,SLE,R2,07/04/2019,26.128,25.046,12.24,ASTON ASAHI (25.27),5.5545,645,M  C4,37,M,
2,1,26.00000,440,SLE,R3,14/04/2019,25.619,24.836,1.60,HOT STRATTY GIRL (25.51),5.41,111,M,8.4,M,
2,8,25.70000,400,WGL,R1,18/04/2019,23.144,22.659,0.46,SHAGGY ROSE (23.11),8.4675,22,M,3.5,MAPM,
S,,,440,SLE,R1,28/04/2019,,24.806,-,GREASE LIGHTNING (25.54),,,V14,0,MH,
6,7,26.20000,440,SLE,R1,12/05/2019,25.991,24.995,7.26,FACING THE MUSIC (25.48),5.512,444,M,5.3,M,
2,5,26.60000,400,WGL,R1,06/06/2019,23.361,22.618,1.29,EBONY LAKES (23.27),8.48,11,M  C1,5.5,T3-M,
3,3,26.50000,400,WGL,R1,13/06/2019,23.566,22.842,5.41,MARLAN GIRL (23.19),8.5885,54,M  C1,2,T3-M,
2,8,26.20000,400,WGL,R1,20/06/2019,23.341,22.99,0.84,INTER ROSE (23.28),8.5975,22,M,2.6,T3-M,
4,5,26.00000,460,WGL,R1,27/06/2019,26.68,26.258,4.76,MONTEY JACK (26.35),6.79,434,M  C4,4.3,T3-M,
2,7,26.00000,400,WGL,R1,04/07/2019,23.314,22.831,6.90,SHOWBOAT CAPERS (22.83),8.665,22,M,3.9,T3-M,
6,6,25.80000,440,SLE,R1,07/07/2019,25.71,24.902,6.84,JERUSALEM CREEK (25.23),5.467,444,M  C4,9.5,M,
5,8,25.60000,400,WGL,R1,11/07/2019,23.7,22.955,4.19,CILLA GEM (23.41),8.535,34,M,3.1,T3-M,
4,2,25.80000,400,WGL,R2,18/07/2019,23.312,22.744,8.11,POPPY TALK (22.74),8.565,44,M,6.3,T3-M,
3,4,25.40000,440,SLE,R1,28/07/2019,25.673,24.969,7.49,SCORCHING EMBER (25.15),5.452,433,M  C2,14.1,M,
1,7,25.80000,400,WGL,R2,01/08/2019,23.272,23.01,2.03,ACER (23.41),8.4935,21,M  C1,5.1,T3-M,
S,,,311,CRN,R1,05/08/2019,,17.893,-,ZAMBORA TARA (18.51),,,,0,MAPM,
8,4,25.60000,400,WGL,R3,08/08/2019,23.718,22.892,5.54,MUZA'S BELLE (23.33),8.73,77,M  C8,5.7,T3-7,
4,1,25.40000,400,WGL,R3,22/08/2019,23.63,22.915,6.29,ADDO JOSH (late ADO CARR) (23.19),8.932,54,M  C4,4,T3-7,
3,1,25.50000,400,WGL,R3,29/08/2019,23.752,22.85,6.86,LOVES ME NOT (23.27),8.8945,44,M  C5,3,T3-7,
2,8,25.60000,440,SLE,R3,05/09/2019,25.386,24.987,0.91,ANNIE ROSE (25.32),5.3575,233,M  C4,25.3,7,
6,8,25.40000,440,SLE,R9,15/09/2019,26.292,25.101,13.70,PERFECT PLAYER (25.33),5.6465,655,M  C11,8.2,RW,
5,8,25.50000,440,SLE,R11,19/09/2019,25.618,24.865,7.09,ANNIE ROSE (25.12),5.32,145,M,9.5,X67H,
4,5,25.70000,400,WGL,R3,26/09/2019,23.546,22.578,6.91,WALTZ ON BYE (23.06),8.715,44,M  C4,3,T3-7,
3,2,25.50000,400,WGL,R3,03/10/2019,23.281,22.508,1.94,BAZ THE ROCKET (23.15),8.55,33,M  C1,7.7,T3-7,
8,3,25.60000,400,WGL,R4,10/10/2019,24.062,22.792,13.20,IS ALL (23.14),8.59,44,M,3.8,T3-RW,
R,,,440,SLE,R11,13/10/2019,,24.828,-,CONFRONT (25.18),,,,0,X67H,
4,4,26.40000,400,WGL,R3,24/10/2019,23.555,22.605,13.57,TO THE MOON (22.61),8.716,65,M  C5,9.8,T3-7,
5,2,26.00000,400,WGL,R2,31/10/2019,23.453,22.746,5.23,LOOBY SKY (23.09),8.725,65,M  C1,11.9,T3-7,
5,5,26.00000,440,SLE,R12,03/11/2019,25.837,24.828,5.64,GYPSY HOOK (25.44),5.4575,366,M  C1,42.2,RW,
2,7,26.00000,400,WGL,R3,07/11/2019,23.221,22.936,0.84,LIGHTING SHOW (23.16),8.4075,23,M  C4,28.8,T3-RW,
7,5,26.00000,400,WGL,R3,14/11/2019,23.508,22.77,8.31,PARUMBA REBEL (22.93),8.613,75,M  C8,3.9,T3-7,
6,3,26.10000,400,WGL,R3,21/11/2019,23.406,22.797,4.30,VELOCITY SUNRISE (23.11),8.749,76,M,20.9,T3-7,
R,,,440,SLE,R9,29/11/2019,,24.953,-,DR. HEADLEY (25.02),,,,0,X67,
6,6,25.40000,440,SLE,R2,08/12/2019,25.753,24.841,7.80,JAYVILLE SLICK (25.21),5.367,366,M  C4,57.7,7,
R,,,311,CRN,R4,11/12/2019,,17.857,-,INUKA (18.01),,,,0,7,
R,,,440,SLE,R9,15/12/2019,,24.67,-,LOCKWOOD LAD (24.98),,,,0,X67H,
-,6,,311,CRN,R3,18/12/2019,,,-,,,,,,RW,
