Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,7,27.90000,300,HVL,R3,10/11/2019,17.038,16.561,0.21,SONIC LAURYN (17.02),3.98925,3,M  R  C2,6.5,MH,
S,,,300,HVL,R2,17/11/2019,,16.747,-,ELITE PAWS (16.85),,,,0,MF,
2,4,28.00000,350,HVL,R1,02/12/2019,19.832,19.252,2.31,ASTON CLUREY (19.67),6.6,3,M  C4,10.3,MH,
7,7,28.10000,350,HVL,R2,08/12/2019,19.712,19.23,4.99,ALL HOLLYWOOD (19.36),6.6795,6,M  C2,26.5,MF,
2,4,28.50000,350,HVL,R1,15/12/2019,19.697,19.042,0.76,KULLAROO (19.64),6.62,2,M  C3,2.8,M,
