Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
4,7,30.00000,440,SLE,R2,12/07/2019,25.823,25.004,4.67,DOWNTOWN DOLLY (25.50),5.637,844,S  C5,15,MH,
R,,,440,SLE,R2,21/07/2019,,24.758,-,OKAWA EYE CANDY (25.01),,,,0,MF,
S,,,350,HVL,R2,29/07/2019,,19.373,-,AS ONLY IS (19.97),,,,0,MH,
2,7,30.50000,311,CRN,R3,18/09/2019,18.274,17.734,2.31,I'M FULLER (18.11),9.847,23,M  W  C4,9.8,MH,
1,5,30.60000,311,CRN,R2,25/09/2019,18.075,17.892,3.71,ASTON CABERNET (18.34),9.82,11,M  R  C1  SW,7.3,MF,
5,6,30.80000,440,SLE,R9,06/10/2019,25.555,24.933,8.39,BACK A ROUGHY (24.97),5.502,555,M  C4,22.6,S,
S,,,450,BAL,R5,19/10/2019,,25.547,-,ASTON VALKYRIE (25.55),,,,0,X67,
7,1,29.90000,460,WGL,R4,01/11/2019,26.939,25.757,14.73,ASTON TOPAZ (25.91),6.6,367,M  W  C8,19.1,X67H,
2,1,30.00000,350,HVL,R5,24/11/2019,19.607,19.076,2.37,ANNIHILATION (19.44),6.6275,2,M,24.7,X67H,
3,8,30.10000,350,HVL,R2,01/12/2019,19.522,19.21,1.93,CALLUM ARI (19.39),6.6695,4,M,38.6,X67F,
4,8,30.50000,400,WGL,R11,10/12/2019,23.054,22.256,5.80,TWO METRE PETER (22.65),8.4725,34,M  C1,9,X67H,
4,8,30.40000,440,SLE,R4,15/12/2019,25.343,24.67,8.04,STIRLING LIGHTS (24.78),5.4725,544,M,13.6,X67H,
R,,,400,WGL,R10,17/12/2019,,,-,,,,,,X67F,
