Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
5,8,25.90000,460,WGL,R6,30/03/2017,26.629,26.047,3.60,LOU'S DREAMS (26.38),6.78625,544,M  C1,4,AMM,
S,,,460,WGL,R3,06/04/2017,,26.183,-,SPYFECTION (26.36),,,,0,M,
1,7,25.90000,460,WGL,R3,27/04/2017,26.2,26.064,1.10,SCARLET TWICE (26.28),6.6,111,M  SW,2.9,M,
S,,,450,BAL,R2,01/05/2017,,25.565,-,MR. SCENTRIC (25.73),,,,0,M,
5,8,25.80000,460,WGL,R9,16/05/2017,26.662,25.685,10.46,FLYING CLASS (25.93),6.867,744,M  C2,8.5,X67,
1,4,25.90000,515,SAP,R9,21/05/2017,30.215,29.637,2.94,EMPRESS ROSE (30.42),5.2235,2211,M  C2,15.5,7,
S,,,515,SAN,R2,25/05/2017,,29.494,-,OPPIE BALE (30.01),,,,0,X67,
1,4,26.30000,440,SLE,R2,05/07/2017,24.821,24.821,6.59,OMEGA VERA (25.28),5.28,111,S,9.1,X67,
2,4,26.20000,460,WGL,R4,11/07/2017,26.168,26.1,0.34,KYLIE'S BOY (26.14),6.705,533,M  SW,4.7,RW,
1,8,26.10000,460,WGL,R5,18/07/2017,26.053,25.806,2.29,TAABINGA FLASH (26.21),6.6045,322,M  C2,2.8,5,
8,5,26.40000,515,SAP,R7,23/07/2017,30.837,29.72,13.00,VING BALE (29.93),5.4225,8888,M  C8,3.7,RWH,
2,3,26.20000,460,WGL,R8,15/08/2017,26.099,25.804,1.64,COOLAN KING (25.98),6.6755,554,M  C5,12.5,X45,
1,8,26.30000,440,SLE,R11,24/08/2017,25.08,25.047,1.99,CRASH ZONE (25.22),5.5325,832,S,1.8,5H,
2,3,26.30000,400,WGL,R12,29/08/2017,22.967,22.841,1.80,RELETHOR BALE (22.84),8.545,54,M  SW,1.6,5,
2,8,26.30000,440,SLE,R6,03/09/2017,25.454,24.859,1.10,CRASH ZONE (25.38),5.5515,754,M,1.4,5F,
4,3,26.20000,515,SAN,R9,14/09/2017,30.108,29.331,2.81,WADELOCK SAMPSON (29.91),5.402,7655,M  C2,5,5,
S,,,515,SAN,R11,21/09/2017,,29.344,-,GATEWAY TO EDEN (29.93),,,,0,5,
2,5,26.30000,525,TRA,R4,06/10/2017,30.668,30.283,5.50,JAKE OF CARSON (30.28),5.061,6333,M  C1,5.8,S,
3,1,26.50000,515,SAN,R11,12/10/2017,29.961,29.292,2.29,ARAPAHO JOE (29.80),5.2175,3544,M  C4,3.5,5,
R,,,525,MEP,R9,18/10/2017,,30.129,-,NIKE VIPER (30.17),,,,0,SH,
4,4,26.40000,515,SAN,R11,19/10/2017,30.369,29.438,13.06,TOUGH LOVE (29.46),5.38575,8444,S  C4  V10  SW,9.6,5,
2,3,26.30000,525,TRA,R5,22/12/2017,30.927,30.432,0.04,LAKEVIEW ISLA (30.92),5.011,5221,M  C2,2.2,5,
2,1,26.40000,520,SLE,R7,31/12/2017,29.525,29.49,0.50,IT'S MY SECRET (29.49),9.25,111,M  SW,2.9,X45,
2,4,26.20000,525,TRA,R4,04/01/2018,30.94,30.36,0.57,INVICTUS LAWLESS (30.90),5.023,6333,M  C2  V3,3.5,5H,
S,,,515,SAP,R8,07/01/2018,,29.657,-,DYNA FABRICE (30.08),,,,0,X45,
S,,,525,TRA,R6,11/01/2018,,30.138,-,MI BLUE DAY (30.14),,,,0,5F,
2,8,26.20000,520,SLE,R7,21/01/2018,29.811,29.561,0.01,MISS HOLLAND (29.81),9.47,112,S  C3,1.1,5,
7,7,26.40000,595,SAN,R9,25/01/2018,35.22,34.2,11.63,OCEAN VIEW (34.41),9.37,2227,M  C5  V0,7,5,
2,2,26.50000,515,SAP,R11,04/02/2018,29.736,29.505,3.30,GO SEEK HEIDI (29.51),5.145,3222,M,4.6,5H,
3,1,26.50000,515,SAN,R4,08/02/2018,30.012,29.703,2.03,GO SEEK HEIDI (29.87),5.14,1123,M  SW,4.3,5F,
S,,,515,SAP,R10,18/02/2018,,29.443,-,MEMPHIS SKY (29.68),,,,0,SH,
2,6,26.30000,400,WGL,R2,07/04/2018,22.909,22.476,0.91,GALLOPING LEO (22.85),8.6985,85,M  C6,3.5,5,
1,4,26.20000,400,WGL,R11,10/04/2018,22.706,22.555,3.31,OOZING MOJO (22.94),8.522,52,S  SW,1.2,5,
