Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,3,27.50000,425,BEN,R1,05/01/2019,23.931,23.931,9.47,IF YOU LIKE (24.59),6.63175,211,M  C1  SW,1.6,M,
1,1,27.50000,450,BAL,R3,16/01/2019,25.305,24.853,2.73,KRAKEN DUST (25.50),6.675,221,M  C4  SW,1.2,RWH,
S,,,450,BAL,R3,23/01/2019,,25.108,-,WHISKEY RIOT (25.11),,,,0,RWF,
1,1,27.50000,450,WBL,R3,07/02/2019,25.287,25.162,4.20,STAR REIKO (25.58),6.67,111,M,1.2,X67,
3,5,27.40000,450,BAL,R8,11/02/2019,25.309,25.055,3.63,JEBRYNAH (25.06),6.675,453,M  C4,19.4,SH,
4,2,27.40000,450,BAL,R8,16/02/2019,25.113,24.951,2.31,FLYNN (24.95),6.665,544,M,21.7,GL,
2,3,27.60000,450,SHP,R7,28/02/2019,25.254,25.046,2.97,SNAGS MCKENZIE (25.05),6.6835,233,M  C1,1.7,SH,
2,1,27.60000,450,SHP,R8,09/03/2019,25.054,24.851,2.90,WHISKEY RIOT (24.85),6.722,533,M  C1,4.7,SF,
1,5,27.50000,450,SHP,R7,30/03/2019,25.079,25.079,3.73,MONSTER HARLEY (25.34),6.6525,331,M  C1,1.3,RWH,
2,8,27.50000,525,MEA,R2,06/04/2019,30.413,29.989,3.76,HARDAWAY WINNIE (30.15),5.23925,6222,S  C4  SW,2,RWF,
3,4,27.30000,520,WPK,R7,10/04/2019,30.38,29.55,9.00,FERAL FRANKY (29.75),5.58,13666,13666,6.5,SH,
1,2,27.30000,525,MEA,R9,20/04/2019,29.969,29.84,0.17,SAY HI (29.98),5.22475,6332,M  C1,2.4,RW,
1,7,27.50000,515,SAP,R7,28/04/2019,29.743,29.238,0.11,VERACITY (29.75),5.245,4322,S,1.8,5,
1,3,27.50000,525,MEP,R12,15/05/2019,29.983,29.867,2.97,CLASSY AUSSIE (30.19),5.1235,2211,M  C1  SW,1.4,5H,
7,7,27.60000,525,MEP,R8,22/05/2019,30.43,29.921,6.01,WINLOCK NEWBOLT (30.01),5.22925,6877,M  C8,1.8,5F,
R,,,545,BAL,R6,29/05/2019,,31.126,-,GEORGE'S FEVER (31.13),,,,0,5,
2,4,27.70000,520,BGC,R3,13/06/2019,30.02,29.54,6.75,BLACK OPIUM (29.54),5.58,33,33,4.2,SH,
3,7,27.90000,520,BGC,R6,20/06/2019,30.24,29.94,3.50,FERAL FRANKY (29.99),5.64,57,57,26,GRP3,
5,6,27.90000,520,BGC,R7,27/06/2019,30.18,29.62,1.75,SENNACHIE (30.06),5.63,66,66,14,SH,
3,2,27.60000,525,MEA,R5,13/07/2019,30.442,29.915,6.16,LEKTRA SPRING (30.01),5.22175,5665,M  C4,2.3,FFA,
5,6,27.60000,525,MEA,R6,20/07/2019,30.713,29.727,10.41,FERAL FRANKY (29.98),5.10425,4365,M  C1,4.3,SH,
4,7,27.90000,595,SAN,R6,25/07/2019,35.418,34.653,6.70,GO SEEK FERNANDO (34.95),9.83,4444,M  C8,9.4,X45,
1,1,28.00000,595,SAN,R4,01/08/2019,34.27,33.977,3.19,STRIKING WEETBIX (34.49),9.1,1111,M  SW,1.3,5,
1,4,27.90000,595,SAN,R10,09/08/2019,34.226,34.226,1.43,SPRING BRIDGE (34.33),9.15,1111,M  C2,3.4,X45,
1,3,28.00000,600,MEA,R9,17/08/2019,34.505,34.252,1.29,BOURBSKI BAR (34.60),9.06,2211,M  C1,1.4,5H,
4,8,27.90000,600,MEA,R6,24/08/2019,35.006,34.638,5.26,BOURBSKI BAR (34.64),9.195,2222,M  R  V0,3.8,5F,
1,3,28.00000,515,SAN,R7,29/08/2019,29.813,29.279,1.49,FLOWING (29.92),5.1775,4553,M  C2  SW,3.3,X45,
6,4,28.00000,515,SAN,R8,19/09/2019,30.292,29.543,8.37,STRIKING WEETBIX (29.71),5.12675,3776,M  C6,3.3,4,
1,2,27.90000,515,APK,R6,03/10/2019,29.55,29.35,4.00,OAKVALE BEAUTY (29.83),4.45,11111,11111SAMP,3.6,SH,
8,4,28.00000,515,APK,R8,11/10/2019,30.74,29.4,18.50,HOOKED ON SCOTCH (29.44),4.56,67888,6CC7888,26,GRP1,
3,2,27.90000,600,MEA,R3,26/10/2019,34.791,34.202,5.16,BLUE STRIKER (34.43),9.27925,5322,M  C2,3.6,SH,
8,5,27.90000,515,SAN,R3,31/10/2019,30.389,29.075,13.80,LEON BALE (29.42),5.21175,5788,M  C9,5.4,S,
2,3,27.90000,545,BAL,R5,06/11/2019,31.223,30.558,9.50,WAGING WAR (30.56),7.2875,5432,M  C2,2.4,X45,
S,,,515,SAN,R3,14/11/2019,,29.162,-,FLYNN (29.43),,,,0,S,
3,2,27.70000,450,BAL,R6,07/12/2019,25.348,24.905,3.77,SNAGS MCKENZIE (25.08),6.53,133,M  C4,11.3,SH,
4,3,27.90000,450,BAL,R5,14/12/2019,25.591,24.766,9.30,SLINGSHOT HAMMER (24.94),6.62,474,M  C1,9.5,S,
