Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
5,7,27.50000,311,CRN,R1,27/11/2019,18.709,17.671,9.70,IGNITE THE STARS (18.03),9.82,16,Q  W  C1,8.7,M,
4,1,27.60000,311,CRN,R1,04/12/2019,18.433,17.618,4.66,CARTER SENOR (18.11),9.8425,24,M  C4,6.8,M,
2,8,27.70000,311,CRN,R2,09/12/2019,18.288,17.824,0.76,SPOLLY'S BEAUTY (18.24),9.85,12,M  W,1.6,T3-M,
5,8,27.70000,350,HVL,R1,15/12/2019,19.862,19.042,3.11,KULLAROO (19.64),6.627,3,M,9.9,M,
-,2,,311,CRN,R1,18/12/2019,,,-,,,,,,M,
