Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
6,6,28.60000,450,BAL,R3,17/07/2019,26.377,25.246,8.34,HUNGRY EYES (25.79),6.944,666,M  C4,10.3,MH,
6,3,29.20000,460,WGL,R2,23/07/2019,27.969,27.187,11.17,TALULAH BALE (27.19),6.7675,446,M  C8,10.8,RW,
S,,,450,BAL,R2,31/07/2019,,25.282,-,TITANIUM LAD (25.50),,,,0,RW,
1,1,29.20000,460,WGL,R1,10/08/2019,26.486,26.015,4.01,ZIPPING MARTHA (26.77),6.67,111,M  SW,2.7,M,
5,5,29.50000,460,WGL,R2,20/08/2019,27.047,25.859,10.51,SOLAR CHARGE (26.31),6.77625,755,M  C4,11.6,X67,
R,,,515,SAP,R2,12/09/2019,,29.573,-,SLIPSTREAM (29.57),,,,0,X67H,
2,2,28.10000,450,BAL,R4,18/09/2019,25.572,25.013,0.37,GLORIA BALE (25.55),6.7,111,M,3.2,RW,
3,2,28.50000,450,BAL,R3,25/09/2019,25.728,25.18,1.77,SELYNYA TEDDY (25.60),6.7375,444,M,8.5,X67H,
8,5,27.90000,450,BAL,R7,02/10/2019,25.795,25.061,9.57,LOTS OF CHATTER (25.13),6.707,557,M  C4,48.7,X67F,
3,8,28.60000,460,WGL,R4,11/10/2019,26.317,25.821,1.06,MISS POTENTIAL (26.24),6.7875,333,M  C5,3.6,X67,
R,,,460,WGL,R4,15/10/2019,,25.728,-,MADALIA MAGGIE (26.10),,,,0,X67,
2,5,28.60000,450,BAL,R4,16/10/2019,25.836,25.457,0.91,LILLY LANCASTER (25.77),6.7425,233,M,4.8,7,
S,,,460,WGL,R4,22/10/2019,,25.694,-,MAX VOLTAGE (25.69),,,,0,7,
1,1,28.50000,460,WGL,R3,01/11/2019,25.989,25.757,1.54,WHODAT LOOKIN' (26.10),6.54,111,M,2.8,X67H,
8,7,28.40000,460,WGL,R7,08/11/2019,27.393,25.923,19.11,ASTON WIZARD (26.06),6.6595,488,M  C11,38.4,X67F,
3,1,28.20000,450,BAL,R4,13/11/2019,25.734,25.216,2.19,QUICKER THAN JOE (25.58),6.692,323,M,3.8,X67,
8,4,28.50000,450,BAL,R4,20/11/2019,26.405,25.033,12.40,CATCH JACKSON (25.54),6.8125,378,M  C11  V0,10.6,X67,
4,8,28.80000,460,WGL,R5,26/11/2019,26.687,25.97,8.77,PIRATES PATCH (26.07),6.5885,555,M  C7,9.8,X67,
7,3,28.80000,515,SAN,R3,05/12/2019,30.476,29.453,7.64,SHANLYN ROB (29.94),5.30125,7322,M  C8  V0,26.7,6G,
5,5,28.80000,515,SAP,R12,15/12/2019,30.198,29.33,12.40,OAKVALE BEAUTY (29.33),5.10925,3555,M  C9,19,SH,
R,,,515,SAN,R2,19/12/2019,,,-,,,,,,6G,
