Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,2,30.60000,390,SHP,R9,02/03/2017,22.813,22.239,2.41,ANTON FLASH (22.98),8.635,21,M,2.8,AMM,
7,7,30.50000,390,WBL,R3,09/03/2017,22.8675,21.95,9.25,DISCOVERED (22.22),8.927,67,M  C4,5.7,X67,
2,2,30.40000,390,SHP,R2,17/03/2017,22.432,22.169,2.51,DESERT OASIS (22.26),8.585,32,M  C1  SW,8.5,7,
4,2,30.30000,390,SHP,R4,20/03/2017,22.788,22.019,10.99,DESERT OASIS (22.02),8.84,44,M  C2,17.9,7,
5,7,30.10000,400,GEL,R9,24/03/2017,23.323,22.427,12.80,SIXTEEN BILLS (22.43),8.5575,35,M  W,15.3,X67,
3,2,30.20000,390,BAL,R3,29/03/2017,22.715,22.147,5.27,SCOTT COSMIC (22.35),8.56625,53,M  C4,3.5,7,
3,6,29.90000,390,SHP,R9,03/04/2017,22.722,22.188,2.33,TEGZ A RIDDLER (22.56),8.78425,73,S  C4,11.4,X67H,
7,4,30.20000,425,BEN,R12,07/04/2017,24.767,23.563,7.31,STARLIGHT JILL (24.26),6.57,136,Q  C5,21.8,X67,
8,6,29.90000,425,BEN,R9,12/04/2017,24.631,23.592,6.54,FIRST REFUSAL (24.17),6.6875,246,M  C4,34.3,X67,
3,6,29.60000,425,BEN,R2,15/04/2017,24.759,23.998,5.99,HE SHALL PETER (24.34),6.82,123,S  C2,21.6,7,
8,8,29.40000,400,WGL,R4,20/04/2017,23.893,22.617,4.73,MISS CRAZY (23.56),8.515,26,M  C2,5.1,T3-7,
6,7,29.10000,350,HVL,R9,28/04/2017,20.157,19.545,8.73,SORRY MAURIE (19.55),6.771,4,M  C1  SW,8.9,7,
8,6,28.90000,400,GEL,R4,02/05/2017,23.665,22.686,10.61,EAT MY SHORTS (22.92),8.8925,75,M  C4,5.5,7,
5,3,29.50000,315,TRA,R4,15/05/2017,19.104,18.394,0,LITTLE WRITTEN (18.62),4.915,34,M  C4,5.9,T3-7,
7,3,29.30000,440,SLE,R12,18/05/2017,25.842,24.872,13.36,OMEGA VERA (24.91),5.565,555,S,15,RW,
8,4,29.30000,425,BEN,R4,24/05/2017,25.011,24.167,7.07,ONE MOORE PAGE (24.52),6.895,565,M  C1,8.8,T3-7,
1,1,30.60000,310,ACT,R12,24/09/2017,18.11,17.75,0.50,RARE SCENTS (18.14),,111,111,4.4,5,
8,5,31.20000,310,ACT,R6,08/10/2017,18.68,17.79,11.75,DANA CORPORAL (17.85),,888,888,14.8,5,
R,,,310,ACT,R5,19/11/2017,,17.91,-,PASTIZZI PITZI (17.92),,,,,X45,
R,,,400,GEL,R11,09/01/2018,,22.647,-,SNAP LOCH (23.03),,,,0,T3-6,
R,,,390,BAL,R2,17/01/2018,,22.062,-,MELISSA LEE (22.52),,,,0,X67,
5,3,30.70000,390,WBL,R10,18/01/2018,22.575,21.731,4.11,LUCKY HOLLY (22.29),8.69125,422,M  C1,17.1,X67,
3,6,30.90000,390,WBL,R4,24/01/2018,22.509,21.94,7.97,EMERALD RAINBOW (21.95),8.635,22,M  C1,25.9,X67H,
7,6,30.90000,390,WBL,R3,01/02/2018,22.956,21.913,12.43,EMERALD RAINBOW (22.09),8.9395,76,S  C8,51.9,X67F,
2,1,30.80000,390,BAL,R9,08/02/2018,22.468,21.963,0.63,KUNG FU HUSTLE (22.42),8.36,11,M  C1,6.5,X67,
5,4,30.70000,311,CRN,R3,14/02/2018,18.29,17.672,2.64,BRINDLE NINJA (18.11),10.031,54,S  C1  SW,10.1,X67,
2,1,30.80000,311,CRN,R3,21/02/2018,17.923,17.654,1.43,SUPERFAST LOVE (17.82),9.69,12,M,8.4,6G,
1,1,30.80000,390,WBL,R4,01/03/2018,22.427,22.054,2.24,THOMELI BOY (22.58),8.49,11,Q,2.9,X67,
4,6,30.90000,390,WBL,R3,06/03/2018,22.841,22.312,5.00,SWANSEA CERI (22.49),8.6385,54,S,4.8,RW,
5,8,30.80000,425,BEN,R10,16/03/2018,24.561,23.63,5.94,FLYING CLASS (24.15),6.78375,644,S,12.2,5,
S,,,390,WBL,R5,17/03/2018,,21.961,-,HEADSPACE (21.99),,,,0,5,
3,3,30.70000,315,TRA,R12,20/03/2018,18.49,18.103,1.06,INDIRA'S GIRL (18.42),5.1115,62,S,11.7,5,
6,8,30.90000,315,TRA,R12,27/03/2018,18.518,17.991,5.96,THUNDER OF NIGHT (18.10),5.112,86,M  C1,17.3,5,
1,7,31.00000,311,CRN,R10,04/04/2018,18.016,17.706,1.47,BUCKLE UP SPUD (18.12),9.75,11,M  C4  SW,7.5,RW,
2,1,31.20000,400,GEL,R12,13/04/2018,22.616,22.272,0.04,LITTLE WOMEN (22.61),8.33,11,Q,5.1,5,
