Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
4,1,29.40000,515,SAP,R9,04/08/2019,30.147,29.349,5.76,SHANLYN HAVEN (29.74),5.1275,3112,M  C1  V7,1.4,MH,
1,6,29.90000,460,WGL,R1,27/09/2019,26.08,26.08,4.75,HERE RUNS EMILIA (26.41),6.46,111,Q  SW,1.4,M,
1,7,30.30000,450,BAL,R4,02/10/2019,25.318,25.061,7.73,TWO UP THOMMO (25.86),6.52,111,M  R  C1,2.8,X67,
S,,,390,SHP,R3,10/10/2019,,21.906,-,HE'S AN ACE (22.08),,,,0,X67,
7,2,29.90000,400,WGL,R10,22/10/2019,23.438,22.385,9.17,MUZA'S BELLE (22.80),8.4125,25,M  C11  V0,1.4,RW,
2,2,29.90000,450,SHP,R9,02/11/2019,25.423,25.047,0.71,KRAKEN SMARTIE (25.37),6.58,111,M,1.7,X67H,
3,7,30.00000,450,SHP,R6,07/11/2019,25.612,24.861,2.89,KRAKEN SMARTIE (25.41),6.845,433,M  C4,3.3,X67F,
1,3,30.20000,525,MEP,R9,20/11/2019,30.042,29.906,5.50,BABY EDEN (30.43),5.07,1111,M  C1,2.6,X67H,
1,1,29.90000,525,MEA,R2,30/11/2019,29.888,29.786,7.63,RUN BABA RUN (30.42),5.13,1111,M  SW,2,X67F,
S,,,515,SAN,R7,05/12/2019,,29.453,-,ROCK ME DAVID (29.77),,,,0,5,
8,1,30.10000,515,SAP,R8,15/12/2019,30.679,29.33,13.56,ROCK ME GORGEOUS (29.73),5.45275,8666,S  C4  V0,1.2,X45,
