Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,5,34.70000,350,HVL,R4,09/09/2018,19.719,18.779,1.66,SHIRDALE TOM (19.84),6.64,1,M  C1,1.4,MH,
5,3,35.50000,350,HVL,R1,16/09/2018,19.868,19.078,4.03,SUPERIOR PRIMO (19.59),6.75425,4,M  C4,2.4,MF,
F,5,36.50000,311,CRN,R2,26/09/2018,,17.675,-,MANAROLA (18.22),,,S  C1  V21,3.4,X67,
1,4,36.10000,300,HVL,R3,16/12/2018,16.597,16.597,4.29,MIDNIGHT TESS (16.90),3.94,1,M,4.2,7,
1,4,35.80000,300,HVL,R2,23/12/2018,16.631,16.58,4.16,LIGHTNING BEN (16.92),3.83,1,M  C4,1.6,X67,
1,3,36.40000,300,HVL,R12,03/01/2019,16.61,16.61,2.93,MY FERNANDO TIM (16.82),3.99125,5,S  SW,1.2,5,
3,6,36.10000,300,HVL,R9,06/01/2019,17.005,16.528,3.77,SUPERIOR CHASE (16.74),3.9825,3,M  W  C3,1.5,RWH,
5,8,36.10000,300,HVL,R3,13/01/2019,16.859,16.479,5.43,SUPERIOR CHASE (16.48),4.00575,7,M  C1,3.2,RWF,
2,7,35.70000,350,HVL,R5,15/01/2019,19.558,19.05,1.83,BROADWAY POLKA (19.43),6.60325,5,M  C5,3.7,5,
2,7,36.00000,300,HVL,R10,20/01/2019,16.651,16.478,2.47,AUTOCRAT (16.48),3.967,3,M,5,X45,
3,4,36.70000,300,HVL,R4,27/01/2019,16.756,16.706,0.71,MEPUNGA GIANT (16.71),4.11675,8,S  C1,1.9,X45,
2,2,35.90000,350,HVL,R5,06/02/2019,19.148,18.855,4.19,BUCK THE JOCKEY (18.86),6.645,3,M  C4,3.2,5,
3,4,35.70000,350,HVL,R8,10/02/2019,19.388,19.079,4.41,HUNGRY AN' HOLLO (19.08),6.5475,2,M  C4,7.1,5H,
7,5,35.80000,350,HVL,R8,17/02/2019,19.332,18.867,6.64,HUNGRY AN' HOLLO (18.87),6.4585,5,M  C4,18.6,5F,
5,5,35.70000,350,HVL,R8,22/02/2019,19.738,19.516,2.17,RHOMBOID (19.59),6.64525,4,S  C5,2.2,5,
1,1,36.00000,350,HVL,R6,25/02/2019,19.285,19.279,2.09,MISS BOOMING (19.43),6.54,1,M,1.1,5,
1,3,36.00000,350,HVL,R6,03/03/2019,19.459,19.226,1.39,PIRIFORMIS (19.56),6.5375,2,M  C2,2.6,5,
2,3,36.10000,300,HVL,R9,10/03/2019,16.669,16.61,0.64,BUGS BOLONEY (16.62),3.94,1,M  C1,2.8,S,
1,8,36.00000,300,HVL,R10,17/03/2019,16.604,16.604,1.73,TEMPORALIS (16.73),3.9045,3,M  SW,2.7,X45,
1,1,35.60000,300,HVL,R9,24/03/2019,16.536,16.529,1.63,BUGS BOLONEY (16.65),3.95,1,M,2.3,FFA,
5,7,35.30000,300,HVL,R6,31/03/2019,16.942,16.6,4.14,LEICA CALI KING (16.65),3.9845,3,M,8.7,FFA,
5,2,34.80000,350,HVL,R8,07/04/2019,19.647,18.988,9.41,EYE GOT IT (18.99),6.786,5,M  W,8.7,S,
3,6,34.80000,350,HVL,R8,15/04/2019,19.427,19.124,2.27,CHALLIS MAGIC (19.27),6.5925,3,M,3,X45,
6,6,35.60000,350,HVL,R8,28/04/2019,19.724,19.296,6.11,SUPERIOR BONT (19.30),6.7425,5,M  C4,22.5,FFA,
S,,,350,HVL,R8,29/04/2019,,19.479,-,CALCANEAL (19.57),,,,0,X45,
1,7,36.00000,350,HVL,R5,05/05/2019,19.462,19.022,1.17,MISS BOOMING (19.54),6.607,2,M  SW,2.7,5H,
