Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,8,31.20000,400,GEL,R1,16/08/2018,23.065,22.505,0.50,DYNA JULES (23.03),8.565,21,M  C1,4.3,MAPM,
3,6,31.30000,390,BAL,R1,22/08/2018,22.852,22.059,3.51,LACARABINE (22.61),8.7325,22,M  C1,2.2,M,
2,1,31.30000,400,GEL,R1,31/08/2018,23.086,22.534,4.53,OUT BREAK (22.77),8.5825,22,M  C2,5.5,M,
2,1,31.70000,400,GEL,R1,07/09/2018,23.008,22.468,0.27,TEMPORALIS (22.99),8.42,11,M,4.4,M,
3,6,31.50000,400,GEL,R1,14/09/2018,23.064,22.218,5.49,DUSKY DOMINANCE (22.68),8.58,33,M  W  C4,4.2,M,
1,2,31.60000,400,GEL,R1,20/09/2018,22.761,22.502,7.33,TONI TONI TONI (23.27),8.46,11,M,1.2,MAPM,
5,8,31.50000,400,GEL,R3,28/09/2018,23.187,22.679,7.26,LEDGERWOOD ROAD (22.68),8.7,44,M  C4,5.7,X67,
1,5,30.90000,390,BAL,R3,17/10/2018,22.401,22.166,01.00,SHIELD OF DREAMS (22.47),8.5,11,M  C1,4.8,X67,
6,7,30.70000,390,BAL,R9,24/10/2018,23.034,22.216,8.86,BIDE YOUR TIME (22.41),9.052,86,M  C1  SW,5.3,X67,
3,7,31.00000,350,HVL,R3,28/10/2018,19.875,19.393,2.37,HIGH TALE (19.71),6.63,1,M  C1,13.1,X67,
2,3,31.00000,390,BAL,R10,31/10/2018,22.395,21.985,0.93,CHIEF COMMAND (22.33),8.525,22,Q  C1,4.5,RW,
3,8,31.50000,350,HVL,R9,04/11/2018,19.435,19.11,1.27,MIA TESORO (19.35),6.5825,2,M,8.2,X67,
2,4,31.40000,390,BAL,R3,07/11/2018,22.505,22.241,2.10,HALF A MINYA (22.36),8.4475,22,M,4.2,X67H,
2,4,31.30000,350,HVL,R3,11/11/2018,19.7225,19.18,1.75,GREY GHOST (19.60),6.63,1,M  C1  SW,17.7,SH,
8,6,31.80000,390,BAL,R3,14/11/2018,22.887,22.029,8.61,STAVROS (22.28),8.68675,78,M  C8,12.8,X67F,
5,8,31.90000,350,HVL,R8,18/11/2018,19.836,19.335,6.73,RUNNIN' ROYALTY (19.37),6.6185,3,M  C4,68.8,SF,
R,,,390,BAL,R3,28/11/2018,,21.714,-,ZIPPING BUSTER (22.37),,,,0,X67,
S,,,390,SHP,R10,03/12/2018,,22.156,-,ZHARNEL (22.49),,,V0,0,T3-6,
4,3,31.00000,425,BEN,R3,14/12/2018,24.573,23.796,7.46,ASTON YOKO (24.05),6.7145,444,M  C1,5.8,X67H,
2,3,31.30000,390,BAL,R7,07/01/2019,22.756,22.483,1.67,BLACKPOOL REMI (22.64),8.6375,52,M,4.3,6G,
