Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,5,29.30000,420,LIS (Q),R2,20/03/2018,24.95,24.18,11.00,MISTER CHAOS (24.18),10,332,332,,QT,
4,2,30.60000,331,BGC,R3,10/06/2018,19.49,18.95,7.50,WHITE OX (18.96),7.4,5,5,5.1,M,
2,8,31.10000,331,BGC,R1,05/08/2018,19.23,18.76,2.75,HEADSPIN (19.03),7.36,2,2,3.6,MH,
6,3,31.40000,331,BGC,R4,12/08/2018,19.77,19.01,6.75,KEY FACTOR (19.29),7.53,6,6,8.6,MF,
2,6,31.10000,331,BGC,R2,19/08/2018,19.47,19.08,2.50,BRIDGET BENZ (19.28),7.42,5,5,6.1,MH,
3,7,31.20000,331,BGC,R4,26/08/2018,19.42,18.94,4.75,BRIDGET BENZ (19.09),7.33,6,6,3.4,MF,
2,5,30.90000,395,BGC,R1,29/08/2018,23.28,22.62,2.00,MAGIC SUMMER (23.14),11.1,4,4,1.9,M,
4,2,30.40000,288,IPS,R1,05/09/2018,18.36,16.78,9.25,ZAFONIC SPIRIT (17.70),6.26,2,2,2.4,M,
3,1,30.00000,331,BGC,R1,16/09/2018,19.61,18.79,2.25,REGAL REGARD (19.45),7.51,6,6,1.9,MH,
1,5,30.50000,288,IPS,R1,19/09/2018,17.44,16.89,1.75,BRAINS TRUST (17.57),6.26,4,4,1.8,M,
S,,,331,BGC,R3,23/09/2018,,18.7,-,YO YO LASS (19.07),,,,,MF,
6,4,31.00000,431,IPS,R3,05/10/2018,26.52,25.1,19.25,TAYLOR MAID (25.17),14.12,7,7,5.5,NNP,
3,5,30.40000,431,IPS,R3,12/10/2018,25.32,25.07,2.50,IMPATIENT KID (25.13),13.82,3,3,16,NNP,
3,7,30.70000,411,CAS,R1,19/10/2018,23.94,23.16,4.00,LOBCHA (23.66),,643,643,14.2,5,
1,4,30.60000,431,IPS,R3,23/10/2018,25.55,25.1,0.10,TIGHT CIRCLE (25.56),13.89,4,4,3.5,NNP,
4,3,30.40000,431,IPS,R5,02/11/2018,26.21,24.98,5.25,REGAL REPORT (25.84),13.97,1,1,7,5H,
R,,,300,HVL,R2,15/12/2019,,16.34,-,FLASH PAWS (16.95),,,,0,X67,
7,8,33.50000,300,HVL,R9,16/12/2019,17.72,,7.84,TINKER CHUCK (17.17),4.15725,8,M,,X67,
