Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,4,32.70000,410,HOR,R1,11/12/2018,24.008,23.205,0.96,KRAKEN JONNY (24.08),10.9775,33,M  C7,3.4,M,
S,,,410,HOR,R3,18/12/2018,,23.035,-,MY NAME'S BARRY (23.24),,,V7,0,X67,
S,,,425,BEN,R2,21/12/2018,,24.016,-,DAMNATION (24.13),,,,0,7,
5,5,33.10000,410,HOR,R2,26/12/2018,24.074,23.133,7.30,DYNA NELLY (23.56),11.0225,66,M  W  C8,5.6,7,
6,8,33.60000,425,BEN,R2,30/12/2018,25.058,23.895,14.87,MY OLLIE (24.02),6.862,776,S  C7  V0,33.5,7,
S,,,425,BEN,R2,05/01/2019,,23.931,-,RIDE HIGH (24.13),,,,0,X67,
3,2,33.60000,425,BEN,R9,17/01/2019,24.713,24.321,5.11,NICKEL BLACK (24.36),6.805,444,S  C1,3,T3-7,
1,8,33.40000,450,SHP,R9,28/01/2019,25.544,25.427,11.80,ATOMIC ICON (26.37),6.77,111,M  SW,4.1,T3-RW,
1,7,33.40000,450,SHP,R9,07/02/2019,25.396,25.215,2.06,ASTON TALKS (25.54),6.64,111,M,5.1,X67,
3,4,33.40000,450,SHP,R7,11/02/2019,25.441,24.839,2.29,TAMPICO (25.28),6.68,111,M,4.6,6G,
4,4,33.60000,425,BEN,R12,22/02/2019,24.352,23.718,3.21,DAM THE MAN (24.13),6.6535,444,M  W  C1,7.1,5,
5,6,33.70000,390,SHP,R3,28/02/2019,22.895,21.841,3.39,HEZA REAL DEAL (22.66),8.85525,76,S,3.5,5,
6,3,33.60000,425,BEN,R12,07/03/2019,24.638,23.807,5.21,SHADY THIEF (24.27),6.76325,786,M  C5,2.7,5,
5,3,33.30000,450,WBL,R5,14/03/2019,25.86,25.406,5.46,ITCHING TO GO (25.48),6.6975,334,M,5.6,RW,
2,4,33.30000,450,WBL,R5,21/03/2019,25.797,25.235,1.39,RAMPANT DOC (25.70),6.64,132,M  C1,6.3,5NP,
8,4,33.30000,410,HOR,R3,26/03/2019,24,23.236,8.36,BUDDY GOES BANG (23.42),10.756,88,M  C8,5,RW,
S,,,410,HOR,R11,02/04/2019,,23.276,-,GO PIES (23.28),,,,0,5NP,
3,2,33.50000,390,SHP,R10,13/05/2019,22.72,22.34,3.50,ASTON JAGGER (22.48),8.77875,54,M  C1,1.8,T3-5,
6,2,33.60000,390,SHP,R11,20/05/2019,22.794,22.316,6.76,RUN THE ROUTE (22.32),8.7125,47,M  C8,2,T3-5,
4,7,33.50000,450,SHP,R3,23/05/2019,25.737,25.284,2.00,MANDERLEY (25.60),6.7,111,Q  C1,9.4,RW,
1,1,33.50000,450,SHP,R8,27/05/2019,25.473,25.473,2.80,MOYARRA FANTASY (25.67),6.57,111,M,1.9,T3-5,
1,3,33.40000,390,SHP,R12,06/06/2019,22.334,22.128,2.47,OUR FLYING KENNY (22.51),8.49,11,M,2.1,5H,
8,7,33.80000,390,SHP,R4,13/06/2019,22.882,22.076,8.81,ATLANTIC JEWEL (22.27),8.85,78,M  C4,4.3,5F,
7,5,33.60000,460,WGL,R10,18/06/2019,26.788,26.053,9.53,VELOCITY DORY (26.12),6.7725,667,M  C6,7.9,5,
1,2,33.40000,450,SHP,R12,22/06/2019,25.802,25.373,3.39,GOLDEN ROMANCE (26.04),6.75,222,M  C2  SW,2,5NP,
6,2,33.30000,450,BAL,R5,26/06/2019,26.097,25.459,5.29,LORENZA (25.73),7.037,777,S  C1,4.5,5NP,
5,8,33.10000,450,SHP,R6,04/07/2019,25.878,25.047,9.69,ZIPPING NORTON (25.20),6.6745,444,M  C2,25.9,X45,
1,5,33.00000,410,HOR,R10,16/07/2019,23.498,23.368,2.79,FERNANDO'S FLARE (23.69),10.37,11,M,11.8,5,
4,7,33.30000,390,SHP,R7,05/09/2019,22.468,22.175,4.19,BIG ARTIE BANNER (22.18),8.542,44,M  C1,21.3,X45,
2,3,33.20000,390,SHP,R12,12/09/2019,22.464,22.068,2.06,RIPPA REGIS (22.32),8.62,43,M  C1,5.9,5,
3,1,33.20000,390,BAL,R12,18/09/2019,22.983,22.124,6.50,MERRIVIEW MACH (22.53),8.9175,55,M  C5,8.1,X45,
1,5,33.40000,450,BAL,R5,25/09/2019,25.556,25.18,0.67,LADY EMERALD (25.60),6.675,222,M,7.5,5,
S,,,450,SHP,R8,03/10/2019,,25.112,-,FEND OFF (25.11),,,,0,X45,
2,7,33.50000,390,SHP,R10,17/10/2019,22.13,21.931,0.61,LUCILLE DIOR (22.09),8.5175,32,M  C1,15.3,5,
3,3,34.10000,450,SHP,R8,24/10/2019,25.657,25.011,2.76,SPECIAL DROP (25.46),6.51,322,M,3.3,5,
6,6,33.90000,450,SHP,R5,28/10/2019,26.086,25.054,11.23,CURSED (25.30),6.94425,666,M  C6,12.7,SH,
8,4,34.20000,425,BEN,R9,01/11/2019,24.754,23.643,10.40,HE'S AN ACE (24.03),6.95875,778,M  C5,9.9,5,
6,1,34.20000,450,SHP,R5,07/11/2019,25.989,24.861,6.04,CHISELLER (25.57),6.657,235,M  C4,7.2,5,
7,3,34.30000,450,SHP,R5,14/11/2019,26.138,25.161,7.81,SHANLYN ROSE (25.59),6.7675,547,M  C2,11.7,5H,
S,,,380,CAN,R10,07/12/2019,,21.88,-,CHEVY'S ENTRY (22.01),,,,,5,
-,3,,380,CAN,R9,18/12/2019,,,-,,,,,,RW,
