Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
F,8,27.30000,520,CRN,R1,05/12/2018,,30.311,-,WOK DJAY (31.12),5.896,6,S  C7  V3,4,MH,
4,4,27.30000,425,BEN,R2,12/12/2018,25.083,23.801,7.91,KRAKEN RUBEN (24.53),6.97125,775,S  C5,4.6,M,
5,8,27.10000,440,SLE,R1,15/12/2018,26.163,24.57,15.83,JONATHAN'S ROSE (25.06),5.862,777,S  C1,19.9,M,
5,8,27.50000,525,MEP,R3,19/12/2018,30.981,29.751,14.64,START A RIOT (29.96),5.4175,6555,S,16.9,MH,
R,,,425,BEN,R1,02/01/2019,,24.182,-,CHILL OUT ISLA (24.58),,,,0,M,
5,6,28.00000,425,BEN,R1,05/01/2019,24.918,23.931,14.10,FERNANDO'S RIOT (23.93),6.93975,875,S,22.1,M,
6,3,27.80000,525,MEP,R2,09/01/2019,31.045,29.997,9.04,DYNA VARSITY (30.41),5.3775,5455,S  C5  V0,64,MH,
R,,,520,CRN,R1,20/03/2019,,30.288,-,BUBBLES (30.29),,,,0,M,
4,5,28.20000,450,SHP,R1,21/03/2019,26.054,24.836,8.71,CURSED (25.44),6.92175,444,M,13.9,M,
1,1,28.00000,400,WGL,R1,23/03/2019,23.139,22.758,1.56,MASTER ZEMNICK (23.25),8.56,11,M  C1  SW,7.7,MAPM,
S,,,520,CRN,R2,25/03/2019,,30.778,-,BRANDY MANDY (31.36),,,,0,MAPM,
4,6,28.30000,520,CRN,R5,03/04/2019,30.954,30.335,5.23,ANGRY TRIP (30.59),5.7125,5444,S,28.1,RW,
5,3,28.70000,390,BAL,R9,10/04/2019,22.499,21.886,6.37,DAKORA (22.05),8.8175,76,M  C1,27.4,X67,
3,1,28.50000,390,BAL,R9,13/04/2019,22.676,22.26,5.94,MAXIMUM TRINA (22.26),8.81,33,Q,6.2,7APM,
4,8,28.10000,520,CRN,R5,17/04/2019,31.139,30.14,10.83,FLYING MOSS (30.38),5.6475,3324,M  C12,22.3,RW,
4,5,27.90000,450,BAL,R7,24/04/2019,25.711,25.381,4.71,LITTLE TUBBSY (25.38),6.79175,554,M,38.2,X67H,
4,8,27.90000,520,CRN,R5,27/04/2019,30.879,30.399,6.86,BLACK BEAUTY (30.40),5.7125,5554,M  W  C1,10.5,RWAPM,
4,2,28.00000,450,BAL,R4,03/05/2019,25.776,25.322,6.49,WHY NOT POCKETS (25.32),6.844,664,M,30.9,X67F,
7,6,27.60000,520,CRN,R7,08/05/2019,31.302,30.368,10.93,LADY BANG BANG (30.54),0.16625,7787,S,26.5,RW,
7,2,27.80000,450,BAL,R2,22/05/2019,26.234,25.101,8.11,STRAWBERRY SWIRL (25.67),6.9,777,M,38.9,X67H,
6,1,28.30000,520,CRN,R5,29/05/2019,31.599,30.654,13.31,ANTARES STAR (30.67),5.8145,7555,M  C5,41.4,X67,
5,1,27.60000,520,CRN,R4,05/06/2019,31.345,30.413,12.13,DARNUM DASHER (30.50),5.7845,6555,S  C1,8.4,RW,
6,8,28.10000,390,BAL,R3,03/07/2019,23.031,22.072,12.51,MAGIC BULLDOZER (22.16),8.897,88,M  C4,44.2,X67,
4,8,28.00000,390,BAL,R1,10/07/2019,22.738,22.331,5.81,SCENIC WARRIOR (22.33),8.9875,76,M,47.6,RW,
R,,,425,BEN,R3,13/07/2019,,23.613,-,SPRING TYPHOON (24.42),,,,0,7,
5,6,27.50000,450,BAL,R5,17/07/2019,26.117,25.246,5.43,SPRING HUMMER (25.74),6.8885,655,M  C4,50.9,RW,
1,2,28.20000,520,CRN,R4,24/07/2019,30.918,30.473,2.01,MINDIL BEACH (31.06),5.535,2111,Q  C1,10.7,RW,
8,6,28.80000,400,WGL,R9,30/07/2019,23.562,22.581,10.21,SUDDEN FORCE (22.85),8.945,88,M  C4  SW,39.6,6G,
7,6,28.90000,350,HVL,R5,04/08/2019,20.245,19.19,12.23,TIME TO TALK (19.39),6.96125,7,M,61.2,SH,
3,7,28.60000,390,BAL,R2,07/08/2019,22.631,22.087,7.77,CURLIN' MERLIN (22.09),8.845,65,M,44.3,RW,
3,1,28.30000,515,SAP,R5,11/08/2019,30.382,29.589,4.13,DURANT (30.09),5.3575,6344,M  C8,13,X67,
2,2,27.80000,425,BEN,R4,14/08/2019,24.339,24.118,0.66,ASTON VERVE (24.29),6.773,622,M,15.8,T3-6,
5,4,27.40000,400,WGL,R9,20/08/2019,23.363,22.677,3.47,BACK A ROUGHY (23.12),8.74425,76,M  C4,64.3,X67,
8,1,26.90000,390,BAL,R3,28/08/2019,22.832,22.03,6.86,OKAY SAM (22.35),8.8695,68,M  C1,26.3,X67H,
5,6,27.10000,520,CRN,R6,04/09/2019,31.729,30.264,9.59,DUNDEE SPECTRE (31.06),5.69,1665,M  C3,39.4,X67H,
R,,,520,CRN,R5,11/09/2019,,30.465,-,BUNNING SNAG (30.47),,,,0,X67F,
5,2,27.30000,515,SAP,R4,12/09/2019,30.338,29.573,5.61,O'SULLIVAN (29.95),5.49,8666,M  C8,46,X67H,
4,8,27.30000,450,BAL,R4,18/09/2019,25.789,25.013,3.47,GLORIA BALE (25.55),6.8575,446,M  W  C1,21.3,RW,
R,,,460,WGL,R5,24/09/2019,,25.954,-,GLORIOUS (25.97),,,,0,X67,
5,6,27.60000,450,BAL,R4,25/09/2019,25.957,25.18,11.10,LOTS OF CHATTER (25.18),6.90875,775,M  SW,69,X67H,
R,,,450,BAL,R7,02/10/2019,,25.061,-,LOTS OF CHATTER (25.13),,,,0,X67F,
2,1,27.60000,500,BEN,R7,02/10/2019,28.709,28.412,1.67,CHASING BEERS (28.59),6.63,123,M  C2,3.7,T3-RW,
2,1,27.70000,400,WGL,R9,08/10/2019,23.092,22.482,7.19,ROCK ME GORGEOUS (22.59),8.7075,44,M  W,18.5,RW,
8,1,27.90000,400,WGL,R9,15/10/2019,23.374,22.367,9.17,WEEONA YOSHI (22.73),8.9305,88,M  C7,3.7,RW,
7,8,28.40000,520,CRN,R7,30/10/2019,31.125,30.404,9.30,RIK LEE (30.47),5.692,6667,S  C5  V0,33.5,RW,
1,1,28.10000,500,BEN,R5,06/11/2019,28.771,28.464,3.74,ODDJOB LAD (29.03),6.75,111,M  SW,4,T3-6,
4,8,28.10000,460,WGL,R8,12/11/2019,26.727,25.777,6.56,EVERYTHING I DO (26.27),6.86725,856,S,30.6,5,
