Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
5,4,28.50000,311,CRN,R4,18/09/2019,18.56,17.734,3.61,ESPECIAL ELISE (18.31),10.189,64,M  R  C12,5.1,MH,
5,7,28.70000,400,WGL,R1,24/09/2019,23.752,22.733,12.64,ACCORDING (22.87),8.6325,35,M  C1,5.6,MH,
3,1,28.60000,311,CRN,R1,02/10/2019,18.2255,17.754,6.25,ROCK ME DAVID (17.79),10.3875,33,M,3.3,M,
6,5,28.70000,440,SLE,R1,17/10/2019,26.234,24.928,12.56,MYSTIC JAGUAR (25.36),5.59175,666,Q  C9,10.7,M,
3,6,28.90000,440,SLE,R4,20/10/2019,25.599,25.027,6.73,ASTON CAIRN (25.13),5.34,123,S,20.6,MH,
4,5,28.60000,400,WGL,R2,25/10/2019,23.189,22.563,8.27,STIRLING LIGHTS (22.61),8.3235,344,M  C1,18.9,M,
2,7,28.50000,400,WGL,R1,29/10/2019,23.12,22.413,4.64,START THE CLOCK (22.80),8.4075,22,Q  C1,3.1,M,
1,4,28.60000,440,SLE,R3,03/11/2019,25.12,24.828,6.97,PETE'S DREAM (25.61),5.28,111,Q,5.1,MH,
1,2,28.80000,440,SLE,R3,10/11/2019,25.384,24.899,0.30,SKITTLE (25.41),5.29,111,Q,10.4,MF,
7,7,28.90000,440,SLE,R4,17/11/2019,25.924,24.857,13.49,MATILDA HOOK (24.98),5.4625,666,M  C1,3.4,X67H,
2,6,28.80000,440,SLE,R10,24/11/2019,25.568,24.798,2.53,SAD BUT TRUE (25.39),5.32,123,Q  SW,3.1,6G,
2,5,28.80000,440,SLE,R9,29/11/2019,25.488,24.953,6.63,DR. HEADLEY (25.02),5.3125,222,M  C1,5.6,X67,
8,5,28.50000,400,WGL,R3,06/12/2019,23.472,22.563,12.99,TWO METRE PETER (22.56),8.555,47,M  C7,18.3,X67,
4,7,28.80000,400,WGL,R9,10/12/2019,23.165,22.256,3.21,SKITTLE (22.94),8.63,33,Q  R  C4,12.9,X67H,
4,6,28.70000,440,SLE,R9,15/12/2019,25.375,24.67,5.69,LOCKWOOD LAD (24.98),5.33,134,M,11.8,X67H,
