Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,8,33.00000,300,HVL,R10,03/12/2017,17.182,17.006,2.51,PRIMED ENGINE (17.01),4.0235,2,M  C1,3.4,MH,
1,6,32.70000,300,HVL,R1,10/12/2017,16.702,16.702,2.16,UNDETECTABLE (16.85),3.92,1,M  SW,4.7,MF,
2,6,32.70000,350,HVL,R9,17/12/2017,19.675,19.162,4.70,HUNGRY HEART (19.35),6.83,1,M  C1,2.2,X67H,
6,8,32.40000,350,HVL,R4,24/12/2017,19.861,19.36,6.71,HUNGRY HEART (19.39),6.6095,3,M  C7,3.9,X67F,
S,,,390,SHP,R2,11/01/2018,,22.113,-,RAVE ON (22.51),,,,0,X67,
3,6,31.70000,311,CRN,R2,31/01/2018,18.445,17.803,2.27,WHY NOT HUGH (18.29),9.9345,32,M  C5,3.9,7,
S,,,350,HVL,R9,04/03/2018,,19.125,-,DEE DEE ONE (19.73),,,,0,X67H,
1=,3,32.30000,300,HVL,R9,22/04/2018,16.871,16.606,1.26,ROCKY ROOSTER (16.87),3.9635,2,M  C1,11.1,RWH,
7,8,31.80000,390,BAL,R9,26/04/2018,22.948,21.938,14.43,DYNA HUNTER (21.94),8.71,34,M,3.7,X67H,
5,6,32.30000,350,HVL,R4,29/04/2018,19.562,19.118,2.74,WAZZA HAWK (19.37),6.657,5,S  C1,22.5,RWF,
2,6,32.60000,400,GEL,R4,24/05/2018,22.826,22.67,2.16,SAINTLY JACK (22.68),8.5275,22,M  C1,6.2,6G,
3,1,32.50000,300,HVL,R9,27/05/2018,16.926,16.576,3.84,SUPERIOR MARTINI (16.66),4.127,7,S  C1,3.2,RWH,
4,2,32.30000,400,GEL,R2,01/06/2018,23.214,22.444,11.00,PHOENIX FERNANDO (22.44),8.47175,43,M  C9  SW,4.9,X67H,
S,,,300,HVL,R4,03/06/2018,,16.672,-,ICE COLD YUG (16.71),,,,0,RWF,
1,3,33.00000,300,HVL,R3,17/06/2018,16.886,16.818,0.19,BUSHIRI (16.90),3.97175,2,M,4.5,SH,
2,1,33.20000,300,HVL,R5,24/06/2018,16.793,16.621,0.37,LEICA CALI KING (16.77),3.974,5,M  C2,12,SF,
S,,,311,CRN,R12,30/06/2018,,17.797,-,AUGUSTUS DAGLOOP (17.80),,,,0,5,
2,2,32.70000,390,BAL,R10,11/07/2018,22.759,22.158,0.20,RIVERINA MISS (22.75),8.635,22,M,2.5,5,
8,6,32.70000,425,BEN,R12,20/07/2018,25.086,24.039,13.30,GO NATALIE GO (24.16),6.8325,688,S  V3,12.8,5,
S,,,425,BEN,R12,27/07/2018,,23.849,-,MISS PEPPERJACK (24.10),,,,12,5,
S,,,311,CRN,R3,15/08/2018,,17.802,-,CRUZIN' (17.85),,,,0,RWH,
4,3,32.90000,425,BEN,R11,31/08/2018,24.993,23.96,10.47,BASE CAMP (24.26),6.75475,754,S,27.1,5H,
3,2,33.60000,350,HVL,R7,09/09/2018,19.324,18.779,2.03,DEMAND A PANDA (19.18),6.6575,5,S  C9,22.3,5H,
4,8,33.90000,350,HVL,R3,16/09/2018,19.682,19.078,1.30,MR. SWAN (19.59),6.7575,5,M  C1,3.6,5,
5,5,34.10000,300,HVL,R3,23/09/2018,17.176,16.511,4.89,BOMBORA THUNDER (16.83),4.02425,5,M  C2,4.6,RWH,
2,4,33.30000,350,HVL,R7,30/09/2018,19.467,19.049,3.36,BUY ME DIAMONDS (19.23),6.655,2,M  C1,5.7,5,
2,5,33.40000,350,HVL,R6,05/10/2018,19.424,19.339,0.70,SUBSCAPULARIS (19.38),6.54175,2,M,2,5,
1,2,33.60000,350,HVL,R8,07/10/2018,19.277,19.197,0.27,SUPERIOR BONT (19.30),6.62,2,M  SW,7.8,S,
S,,,525,MEP,R2,17/10/2018,,29.934,-,CHARMED AN TAKEN (29.93),,,,0,SH,
R,,,300,HVL,R11,25/11/2018,,16.664,-,PRINCESS MARJEN (16.66),,,,0,X45,
4,6,33.10000,300,HVL,R11,30/11/2018,16.96,16.68,1.93,PINCIOTTI (16.83),4.01425,8,M  C1,4.9,5,
6,7,33.10000,300,HVL,R11,02/12/2018,17,16.54,3.84,PARTY MIX (16.73),4.0245,5,M  C4,4.9,5H,
5,4,32.90000,350,HVL,R7,16/12/2018,19.596,18.688,4.36,HUNGRY HEART (19.29),6.582,4,M  C1,3.5,X45,
1,6,32.90000,300,HVL,R12,21/12/2018,16.983,16.983,2.44,,4.03175,4,M,2.9,5,
3,2,32.90000,350,HVL,R8,23/12/2018,19.325,18.783,7.74,EYE GOT IT (18.78),6.607,4,M  C4,48,FFA,
4,5,33.10000,300,HVL,R11,03/01/2019,16.992,16.61,3.33,SUPERIOR INDI (16.76),4.004,5,M  C2,3.5,5,
5,8,33.20000,300,HVL,R11,06/01/2019,16.943,16.528,5.93,MAYOR DIGBY (16.53),3.9695,5,M  C2,37.1,X45,
