Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
6,5,26.20000,425,BEN,R1,30/11/2018,24.825,23.71,12.20,RIDE HIGH (23.97),6.877,665,M  C5,6.1,MH,
1,2,26.40000,425,BEN,R1,21/12/2018,24.041,24.016,2.03,RUBY GIRL (24.18),6.58,111,Q,3.5,M,
2,2,26.50000,425,BEN,R2,05/01/2019,24.262,23.931,1.94,RIDE HIGH (24.13),6.56,122,Q  C4,2.3,X67,
1,7,26.20000,425,BEN,R2,11/01/2019,24.332,23.613,1.86,SACRE BLEU (24.46),6.756,432,M  C2  SW,1.5,7,
3,5,26.50000,425,BEN,R9,18/01/2019,24.402,23.707,2.47,ASTON JOYNER (24.23),6.805,443,M  C4,1.7,RW,
2,1,26.80000,390,SHP,R9,31/01/2019,22.54,21.896,0.89,SCOTT CONFUSED (22.48),8.5575,33,M  C5,2.1,6G,
1,6,26.80000,500,BEN,R3,22/02/2019,28.708,28.092,0.10,MISS TERINDAH (28.72),6.635,233,M  C2,2.9,X67,
S,,,525,MEP,R8,27/02/2019,,29.966,-,QUIP ALLEN (29.97),,,,0,5,
1,7,26.80000,500,BEN,R3,02/03/2019,28.23,27.994,5.29,GO SLOW GOLDY (28.60),6.56,111,M  C2  SW,4.3,RW,
2,8,26.70000,525,MEA,R11,08/03/2019,30.353,29.669,0.29,BILLY MORAN (30.33),5.185,3432,S  C5  SW,2.6,5,
1,3,26.80000,525,MEA,R10,16/03/2019,30.1,29.744,0.54,SUSTAIN THE RAGE (30.14),5.1,1111,Q  C2,1.9,5,
S,,,515,SAN,R4,24/04/2019,,29.33,-,SHE'S A MITZI (29.68),,,,0,5,
S,,,515,SAN,R4,09/05/2019,,29.198,-,LEON BALE (29.82),,,,0,5,
3,4,26.50000,425,BEN,R9,24/05/2019,24.158,23.808,5.00,FABWIK (23.81),6.6385,566,M  C1,12.1,X45,
S,,,515,SAN,R10,30/05/2019,,29.347,-,DYNA SMOKEY (29.52),,,,0,RW,
4,4,27.00000,425,BEN,R9,21/06/2019,24.127,23.784,4.79,DAMNATION (23.79),6.6605,454,M,11.9,5,
6,7,26.60000,450,SHP,R8,27/06/2019,25.874,25.193,6.87,BACK YA SELF (25.39),6.7775,556,M  C4,3.4,X45,
