Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,2,29.60000,300,HVL,R2,02/04/2017,17.207,16.813,1.80,FROM THE SHADOWS (17.33),3.955,2,M  SW,6.4,M,
S,,,390,SHP,R9,24/04/2017,,22.045,-,REBECCA BALE (22.38),,,,0,X67,
2,8,29.30000,390,SHP,R3,22/05/2017,22.496,22.127,0.64,KRAKEN AYE KAY (22.45),8.53,11,M  C2,8.7,X67,
2,7,29.40000,390,BAL,R9,14/06/2017,22.792,22.218,1.40,TILLY ROCKS (22.69),8.7525,53,S  C1,6.8,7,
4,8,29.40000,425,BEN,R1,05/07/2017,24.741,23.931,5.83,PROVEN SNOW (24.33),6.72,424,M  C1,5.4,7,
4,7,29.70000,390,SHP,R10,13/07/2017,22.601,22.015,4.91,ALL INN LAYLA (22.26),8.79,33,M,6.7,X67H,
2,6,30.10000,390,SHP,R2,29/07/2017,22.393,22.129,0.29,BIG BLACK ROCKET (22.37),8.6275,33,M  C1,14,X67,
1,4,29.90000,410,HOR,R3,01/08/2017,23.487,23.407,5.06,PROUD PHOENIX (23.84),10.29,11,M,1.6,7,
1,6,30.10000,390,BAL,R2,09/08/2017,22.34,22.272,2.51,ORIENTAL BINGA (22.52),8.51,11,M  SW,2.6,X67H,
A,4,30.30000,390,BAL,R3,16/08/2017,,22.738,-,,,,,5,X67F,
1,1,30.20000,390,SHP,R11,24/08/2017,22.532,22.26,0.26,YOU DANCE (22.55),8.38,12,M  C1,3.2,5,
1,3,29.90000,390,SHP,R2,07/09/2017,22.178,22.178,2.80,STELLAR FLASH (22.37),8.27,11,Q,2.3,RWH,
2,1,30.10000,390,SHP,R1,14/09/2017,22.274,22.061,1.83,CHALLIS MAGIC (22.15),8.4125,33,M  C4,2.1,RWF,
F,4,30.10000,390,WBL,R7,21/09/2017,,22.136,-,ZIPPING DASH (22.38),8.54,13,M  C7  V7,2.9,5,
5,7,30.30000,410,HOR,R5,24/10/2017,23.978,23.38,7.87,TO THE GALO'S (23.43),10.535,33,M  C2,4.6,5H,
2,2,29.40000,425,BEN,R12,26/09/2018,24.36,24.147,1.11,ZIPPING KING (24.28),6.52,111,M  C1,2.8,APM,
1,8,29.40000,400,WGL,R12,10/10/2018,22.877,22.629,8.26,GONE EARLY (23.46),8.38,11,Q,1.3,APM,
1,8,29.60000,400,WGL,R3,23/10/2018,22.75,22.75,1.77,CHECKER PLATE (22.87),8.22,11,M  C1,1.9,5,
1,8,29.60000,410,HOR,R11,31/10/2018,23.527,23.194,0.61,I'M ALL ONE (23.57),10.27,11,M  C1  SW,1.8,5,
1,6,30.00000,390,BAL,R9,28/11/2018,22.215,21.714,1.04,ASTON FRANKEL (22.29),8.28,11,M,4.5,5,
S,,,390,WBL,R11,29/12/2018,,22.071,-,MEPUNGA BONNIE (22.32),,,,0,5,
S,,,300,HVL,R11,03/03/2019,,16.598,-,LORD DAVINCI (16.71),,,,0,5,
1,3,30.10000,300,HVL,R11,10/03/2019,16.61,16.61,2.63,GO ZIPPY GO (16.79),3.9425,2,M  SW,1.8,5,
3,3,30.10000,300,HVL,R9,24/03/2019,16.734,16.529,2.83,SUPERIOR SAM (16.54),3.95,2,M  C5,4.4,FFA,
2,7,29.40000,300,HVL,R11,31/05/2019,17.102,16.821,0.33,GINNY WOOLF (17.08),3.93,1,M  C2,1.4,APM,
1,3,29.50000,300,HVL,R12,07/06/2019,16.757,16.757,3.57,ANNALEY FLASH (17.01),3.95,1,M  SW,1.3,APM,
1,7,29.50000,390,SHP,R10,06/07/2019,22.412,22.14,1.37,RIVAL NATALIE (22.51),8.35,11,M,1.8,APM,
3,3,30.10000,300,HVL,R10,14/07/2019,16.83,16.514,1.17,MANILA KAMPYON (late KAMPYON) (16.75),3.9445,3,M  C5,3.6,X45,
3,8,30.20000,350,HVL,R5,21/07/2019,19.586,19.068,0.74,SUPERIOR SAM (19.53),6.6125,2,M  C4,3.6,5,
S,,,390,BAL,R10,31/07/2019,,22.123,-,TYPHOON TESSIE (22.12),,,,0,X45,
3,4,29.90000,300,HVL,R7,11/08/2019,16.729,16.576,2.19,FULLY LOADED (16.58),3.976,4,M,14.4,X45,
S,,,450,SHP,R8,22/08/2019,,25.409,-,KUNG FU HUSTLE (25.65),,,,0,5H,
2,7,29.70000,300,HVL,R11,01/09/2019,16.577,16.385,2.74,LEICA CALI KING (16.39),3.85175,2,Q,12.2,FFA,
S,,,300,HVL,R6,16/09/2019,,16.942,-,LEICA CALI KING (17.05),,,,0,FFA,
6,6,29.60000,300,HVL,R4,08/12/2019,17.135,16.632,7.19,RUNNIN' RAMPAGE (16.63),4.0245,4,M  C5,4,X45,
3,1,30.10000,300,HVL,R9,15/12/2019,16.815,16.34,6.79,PETER GALO (16.34),3.9675,3,S,14.9,FFA,
