Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
7,7,32.60000,440,SLE,R2,06/12/2017,26.315,24.839,8.51,BIGTIME BRUCE (25.72),5.45,267,M  C8,10.1,MH,
2,5,32.20000,460,WGL,R2,13/01/2018,26.208,25.527,1.90,ZIPPING ARCHIE (26.08),6.55,111,M,5.4,M,
5,1,32.70000,525,MEP,R2,14/02/2018,31.118,30.067,9.21,TRUMPSTA (30.47),5.227,2455,M  C7,6.4,MH,
S,,,525,MEP,R4,21/02/2018,,30.198,-,ANNASAY (30.36),,,,0,MSF,
2,7,32.10000,440,SLE,R2,04/03/2018,25.569,24.806,5.70,LYKA SKYWALKER (25.17),5.552,433,M  C1,4.8,MH,
6,8,32.30000,440,SLE,R2,11/03/2018,26.086,24.771,13.13,APACHE FLAME (25.17),5.524,655,S  C4,6.6,MSF,
4,2,32.30000,440,SLE,R3,15/03/2018,25.719,24.878,5.33,ZIPPING AMBER (25.35),5.3775,255,M  C2,2,M,
5,5,33.20000,440,SLE,R2,08/04/2018,25.74,24.709,8.39,WANJIRO (25.15),5.387,255,M  C4,6.2,MH,
R,,,440,SLE,R2,22/04/2018,,24.994,-,RAGADEEN (25.16),,,,0,M,
1,5,33.70000,395,TRA,R1,23/04/2018,22.905,22.785,7.49,MISLOAD (23.43),4.9,111,M  R  SW,2.6,M,
7,7,33.80000,395,TRA,R1,27/04/2018,23.777,22.7,15.39,EL DIAMONTE (22.70),5.0525,788,S  C1  V14,9.6,X67,
S,,,300,HVL,R3,13/05/2018,,16.671,-,TUI (16.85),,,V0,0,X67,
6,4,33.40000,400,WGL,R3,31/05/2018,23.288,22.912,5.37,HE'S A NATURAL (22.91),8.6645,44,M  C5,2.5,7,
S,,,525,TRA,R5,11/06/2018,,31.036,-,WOODLEIGH GUY (31.24),,,,0,X67,
2,8,33.20000,460,WGL,R5,23/06/2018,26.087,25.913,2.49,RUMBLING (25.91),6.6,112,M,3,7,
1,3,33.30000,525,TRA,R3,29/06/2018,30.647,30.647,5.41,I'M THE POPPET (31.03),4.83,1111,M,2.8,RW,
1,8,33.30000,525,TRA,R3,02/07/2018,30.91,30.91,2.76,IMA GHOST BUSTER (31.10),5.0275,3442,M  C4  SW,1.7,RW,
1,7,33.60000,525,TRA,R7,06/07/2018,30.868,30.728,6.37,SEMINOLE WIND (31.31),4.9025,2221,M  C8,4.8,5H,
1,1,33.50000,525,TRA,R8,14/07/2018,30.414,30.414,0.80,HIGHTAN (30.47),4.837,2222,M  C1  SW,2.3,5F,
1,8,33.60000,520,SLE,R6,22/07/2018,29.808,29.808,1.57,BEAU GEM (29.92),9.737,433,M  C1,2.3,X45,
1,5,33.60000,525,TRA,R5,27/07/2018,30.685,30.685,3.51,DEANO'S SMIDGE (30.93),4.832,3111,M  SW,2.4,RWH,
1,2,33.20000,525,TRA,R6,03/08/2018,30.427,30.378,7.23,GARRIDO (30.93),4.88175,2111,M  C1  SW,1.7,RWF,
1,5,33.40000,595,TRA,R9,16/08/2018,34.835,34.835,1.66,LIGHTWOOD MISS (34.95),8.6225,2222,M  C5,1.9,SH,
1,4,33.20000,595,TRA,R8,24/08/2018,34.675,34.675,4.26,LIGHTWOOD MISS (34.97),8.49,1111,M  SW,1.5,SF,
8,5,33.10000,515,SAN,R7,30/08/2018,30.263,29.363,8.33,NOTORIOUS MAC (29.68),5.262,6788,M  C5,6.5,5,
