Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
5,1,31.20000,450,BAL,R1,17/07/2019,26.641,25.246,19.93,SHIMA SHINE (25.25),6.937,655,M  C4,10.6,MH,
F,2,31.40000,515,SAP,R1,28/07/2019,,29.396,-,SCREEN SHOT (30.78),5.2175,2,M  C9  V0,5,M,
1,8,31.70000,460,GEL,R1,06/08/2019,25.901,25.62,0.86,BELLE EXPRESS (25.96),6.7225,311,M,3.1,T3-M,
2,6,31.70000,515,SAP,R5,11/08/2019,30.214,29.589,1.73,DURANT (30.09),5.34,5222,S  C5,3.4,X67,
1,8,31.70000,460,GEL,R4,16/08/2019,25.818,25.818,5.56,MEPUNGA  SPECTRE (26.21),6.63,111,M,2.2,X67,
F,3,31.50000,515,SAN,R3,22/08/2019,,29.282,-,AVALANCHE (29.79),5.2695,6,S  V0,15.8,6G,
2,1,31.70000,460,GEL,R4,30/08/2019,26.123,25.614,0.77,MILWAUKEE MISS (26.07),6.66,335,M  C4  SW,2.6,X67,
6,8,31.70000,460,GEL,R7,06/09/2019,26.17,25.337,11.90,HOOKED ON SCOTCH (25.34),6.97675,767,M  C1,5.1,X67,
1,7,31.90000,460,GEL,R4,13/09/2019,26.274,25.821,1.21,BIG LITTLE SIS (26.36),6.8795,522,M  C1,3.6,X67,
6,5,32.20000,525,MEP,R11,18/09/2019,31.006,29.793,10.06,OUR ROCK MAN (30.30),5.225,2555,M  C5,2.5,5,
4,1,32.20000,460,GEL,R5,27/09/2019,26.292,25.554,3.34,GREAT SUCCESS (26.06),6.772,476,M  W  C5,2.2,5,
4,8,32.90000,350,HVL,R7,15/12/2019,19.726,19.042,9.77,SUPERIOR POWER (19.04),6.705,3,M,7.7,5,
