Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,8,27.50000,440,SLE,R3,13/07/2018,25.545,24.898,4.90,EGOLINE (25.20),5.47,233,M,8.2,MH,
4,7,27.70000,440,SLE,R2,22/07/2018,25.571,24.692,7.66,DOUBLE WHAT (25.04),5.4325,433,M  C1,8.4,MF,
1,4,27.40000,440,SLE,R2,05/08/2018,25.145,24.721,1.60,CRIME SCENE (25.26),5.29,111,Q,4.2,M,
3,7,27.20000,440,SLE,R10,26/08/2018,25.418,24.966,6.27,STAR RAD (24.98),5.29,122,M  W  SW,3,X67,
8,4,27.20000,460,WGL,R2,11/09/2018,26.688,25.934,8.33,SAETTA (26.11),6.9155,888,M  C4,7.8,X67,
6,4,27.40000,440,SLE,R3,16/09/2018,25.689,24.741,7.26,CROSS THREADED (25.18),5.612,877,M  C4,4,7,
3,3,27.00000,460,WGL,R2,22/09/2018,26.39,25.807,5.10,MANNY ALLEN (26.03),6.6525,233,M  C1,8,X67,
5,7,27.50000,460,WGL,R5,25/09/2018,26.684,25.702,8.16,MANNY ALLEN (26.11),6.852,566,M  C4,7.1,X67,
1,8,27.60000,440,SLE,R1,11/10/2018,25.267,24.95,9.69,BIG BOSS BREE (25.95),5.341,411,M,2.7,7,
2,8,27.90000,520,SLE,R2,27/10/2018,30.211,29.858,3.16,SERGEANT SCHULTZ (29.99),9.625,212,M  SW,2.5,RW,
7,5,27.50000,520,SLE,R4,04/11/2018,30.345,29.531,11.63,TEZZALENKO (29.53),9.882,766,M  C4,5.3,X67,
3,7,27.70000,520,SLE,R5,06/11/2018,30.55,29.682,2.23,ALMANI JET (30.39),9.557,213,M  C1,2.5,RW,
8,3,27.50000,440,SLE,R3,16/11/2018,25.961,24.98,10.53,BLUNDERBUSS (25.22),5.4455,788,M  C4  V14,3.1,RW,
S,,,440,SLE,R4,05/12/2018,,24.81,-,SPOLLY JAMES (25.15),,,,0,RW,
3,8,27.10000,520,SLE,R3,16/12/2018,30.044,29.83,3.06,HIP HIPPY SHAKE (29.83),9.52,123,M  W  C1,3.4,RW,
8,6,27.30000,460,WGL,R7,05/02/2019,26.591,26.001,7.07,FLYING SMART (26.10),7.0415,888,M  C4,22,RW,
6,4,27.10000,515,SAP,R2,10/02/2019,30.817,29.362,15.74,ANNABELLE LEE (29.72),5.17,2666,M  C2,39.1,X67H,
4,8,26.70000,595,SAP,R7,17/02/2019,35.024,34.161,2.19,ZIPPING BOLT (34.87),9.305,2234,M  C4,33.1,RWH,
8,3,26.80000,440,SLE,R3,22/02/2019,26.248,24.718,17.36,REFRESH (25.03),5.5645,788,M  C4,6.1,RW,
2,4,27.20000,520,SLE,R5,28/02/2019,29.773,29.707,0.94,PICCOLO FRATELLO (29.71),9.6875,222,M  C4,7,RW,
5,4,27.40000,520,SLE,R4,03/03/2019,30.247,29.367,7.06,VELOCITY ALAINA (29.75),10.205,555,M  C8,7.6,RWH,
R,,,440,SLE,R10,04/08/2019,,24.868,-,MASTER ZEMNICK (25.20),,,,0,RW,
3,7,28.50000,440,SLE,R7,11/08/2019,25.601,24.841,1.96,CHILLIN' THE FAT (25.46),5.452,554,M  C4,2.7,RW,
1,3,28.70000,520,SLE,R9,18/08/2019,30.626,29.579,0.14,EGOLINE ZEB (30.64),10.3345,843,M  C6,2.7,RW,
2,7,28.50000,520,SLE,R10,25/08/2019,29.931,29.876,0.14,MAJOR PURSUIT (29.92),9.55,222,M  SW,3.8,RW,
5,1,28.20000,515,SAN,R4,05/09/2019,30.508,29.357,8.06,OLD TOWN ROAD (29.94),5.2175,3465,M  C5,13.2,RW,
2,3,27.90000,515,SAP,R12,12/09/2019,30.234,29.573,5.36,KATHLEEN'S KISS (29.86),5.18,1223,M  W,6.4,5,
5,1,27.60000,440,SLE,R6,17/10/2019,25.843,24.928,9.79,KINGFISHER ROSE (25.16),5.45425,366,M  C7,21.6,5,
7,2,27.30000,650,SLE,R5,27/10/2019,38.585,37.886,9.99,GO TANGO (37.89),6.16,1224,M  C2,9.2,RW,
7,5,27.30000,350,HVL,R3,01/12/2019,19.938,19.21,7.47,WAR CREEK (19.42),6.88875,7,M  C9,34.9,5H,
1,7,27.60000,350,HVL,R11,08/12/2019,19.492,19.23,0.54,OCEAN MASTER (19.53),6.54,1,M  SW,21.3,5,
3,6,27.70000,440,SLE,R12,15/12/2019,25.547,24.67,8.04,SEGOVIA'S DREAM (24.98),5.645,744,M  C4,8.2,5,
