Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,8,35.20000,450,WBL,R3,10/08/2017,25.557,25.248,0.54,CRACKERJACK JOFF (25.60),6.81675,322,M  C2  SW,4,MH,
2,8,35.20000,450,WBL,R3,17/08/2017,25.631,25.094,2.09,TOO THE NAIL (25.49),6.82175,322,M,4.2,MSF,
5,2,35.50000,450,WBL,R4,24/08/2017,25.78,25.339,6.30,BLACK TALON (25.34),6.69475,676,M  C6,4.4,MF,
1,4,35.20000,525,MEA,R2,30/09/2017,30.046,29.703,6.00,DYNA NINA (30.47),5.2425,2221,M  C5  SW,3.4,7,
5,8,35.60000,515,SAN,R2,05/10/2017,30.129,29.569,2.76,NAVAJO BEAR (29.94),5.2705,6665,M  C2,3.1,X67,
8,3,35.90000,525,MEP,R7,11/10/2017,31.139,30.012,16.10,HASTEN SLOWLY (30.01),5.411,8788,M  C4,4.1,S,
1,5,35.50000,600,MEP,R3,25/10/2017,34.56,34.56,3.26,ALPHA AION (34.79),8.92,1111,M  SW,2.5,RWH,
1,2,35.50000,600,MEA,R2,06/11/2017,34.428,34.332,5.57,DYNA CHILL (34.82),9.02,1111,M  SW,2.1,RWF,
1,7,35.60000,595,SAP,R4,19/11/2017,34.457,34.204,1.43,AZKABAN (34.56),9.27,2211,M  C6  SW,2.3,5H,
1,1,35.60000,595,SAN,R3,24/11/2017,34.548,34.071,0.27,AZKABAN (34.57),9.4,1111,M  C5  SW,2,5F,
S,,,600,MEP,R5,29/11/2017,,34.616,-,FLYING SPARKLES (34.62),,,,0,5H,
1,5,35.90000,545,BAL,R6,13/12/2017,30.8,30.8,3.00,ZERO WHISPERS (31.01),6.885,2211,M  C1  SW,1.4,X45,
5,5,36.10000,525,MEA,R1,23/12/2017,30.844,29.77,2.96,DYNA DENVER (30.64),5.289,7555,M  C9,2,SH,
1,5,35.90000,600,MEA,R10,30/12/2017,34.639,34.639,2.89,JOHN JOHN LAVA (34.84),9.351,5531,M  C6  SW,2.5,X45,
4,6,36.00000,600,BGC,R6,11/01/2018,35.25,34.77,6.25,JALAPENO (34.80),9.84,11,11,2.8,X45,
3,6,36.10000,515,SAN,R10,08/02/2018,29.847,29.703,1.96,LEO'S GIFT (29.71),5.2825,6444,M  C8,5.5,5,
7,5,36.30000,515,SAN,R6,15/02/2018,30.042,29.552,6.27,TITO MOJITO (29.60),5.2955,8777,M  C1,6.7,5,
1,3,36.30000,545,BAL,R6,21/02/2018,31.093,31.093,0.07,GINGER MENANG (31.10),7.0175,5443,M  C4,1.6,X45,
