Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
3,2,28.90000,460,WGL,R1,11/06/2019,26.892,25.914,11.71,WINLOCK SUNSHINE (26.07),6.68,244,M  C4,7.7,M,
2,7,28.80000,440,SLE,R3,16/06/2019,25.251,24.968,0.27,OLD TOWN ROAD (25.23),5.364,322,M,5,MH,
2,3,29.10000,440,SLE,R4,23/06/2019,25.614,24.911,7.81,PERCY'S DIVA (25.07),5.515,555,M  SW,14.5,MF,
2,6,29.20000,515,SAP,R1,30/06/2019,30.079,29.341,0.07,OPTIMUS STEEL (30.07),5.147,2222,M,3.7,M,
5,1,29.40000,515,SAP,R2,07/07/2019,30.375,29.801,4.93,MIDNIGHT TURBO (30.03),5.19,1234,M  C5,7.2,MH,
1,8,30.50000,400,WGL,R2,26/11/2019,23.065,22.494,0.36,MAJESTIC MOJO (23.09),8.4695,32,M  C1,2.1,M,
3,2,30.60000,400,WGL,R3,06/12/2019,23.051,22.563,6.97,TWO METRE PETER (22.56),8.59525,73,M  C5,9.4,X67,
3,2,30.00000,440,SLE,R4,15/12/2019,25.269,24.67,6.99,STIRLING LIGHTS (24.78),5.3675,333,M  C1,5.3,X67H,
