Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
3,2,34.40000,350,HVL,R9,30/07/2017,20.044,19.229,7.39,VITAL FORCE (19.53),6.81925,5,M  C13  V0,2.3,MH,
1,2,34.50000,350,HVL,R3,06/08/2017,19.248,19.172,0.66,EARLY STORM (19.29),6.645,2,M  C1,2.8,MSF,
1,7,34.00000,350,HVL,R1,13/08/2017,19.053,18.89,3.60,VITAL FORCE (19.31),6.7,4,M  C1  SW,3.4,MF,
1,1,34.20000,350,HVL,R2,20/08/2017,19.334,19.008,4.14,LOCHINVAR ADORE (19.62),6.7475,3,S,1.04,X67,
1,4,34.50000,350,HVL,R8,27/08/2017,19.297,19.297,3.69,NICKY'S GIFT (19.56),6.659,4,S  C2,1.5,X45,
1,8,34.60000,350,HVL,R6,03/09/2017,18.883,18.883,4.00,JUDICIAL MAN (19.16),6.53,1,M  SW,3.6,SH,
6,3,34.60000,350,HVL,R8,10/09/2017,19.205,18.887,4.54,ZINZAN BROOKE (18.89),6.5665,5,S  C4,12.2,GRP3,
1,3,34.40000,450,SHP,R7,23/12/2017,25.061,25.061,5.47,ASTON FRANKEL (25.44),6.55,111,M  C1,1.5,5H,
4,3,34.50000,450,SHP,R6,28/12/2017,25.443,25.117,3.90,ASTON FRANKEL (25.17),6.94375,854,M  C5,1.8,5F,
2,7,34.30000,460,WGL,R8,05/01/2018,26.078,25.493,8.36,ASTON DEE BEE (25.49),6.81925,655,S  W  C1,11.6,SH,
2,2,34.20000,350,HVL,R8,04/02/2018,19.096,19.08,0.23,CULLQUIN BOMBER (19.08),6.6695,4,S  C4  SW,1.5,S,
S,,,450,BAL,R3,07/02/2018,,25.152,-,BLACK SPYRO (25.29),,,,0,SH,
7,2,34.20000,410,HOR,R10,27/02/2018,23.953,23.108,12.07,ROCKIN' IN (23.11),11.19,77,M  W  C7,1.5,X45,
S,,,350,HVL,R8,04/03/2018,,19.125,-,KID CARL (19.45),,,,0,S,
1,3,34.50000,350,HVL,R6,18/03/2018,18.792,18.792,4.90,JET BLASTER (19.14),6.47,1,M  SW,1.7,FFA,
1,4,34.30000,425,BEN,R10,28/03/2018,23.414,23.414,7.56,MONSTER MACHINE (23.94),6.6275,311,S  SW,1.5,5,
1,6,34.10000,450,BAL,R5,04/04/2018,25.084,25.084,1.93,CHIEF'S EMPIRE (25.22),6.6525,322,M  C4,1.5,5H,
1,7,33.90000,450,BAL,R5,11/04/2018,24.849,24.849,1.84,CHIEF'S EMPIRE (24.98),6.58925,322,M  SW,1.8,5F,
1,5,33.90000,450,WBL,R6,14/04/2018,25.364,25.234,2.10,SET TO STORM (25.51),6.702,432,M  C2,1.4,5,
7,6,34.00000,450,WBL,R9,25/04/2018,25.531,24.872,9.41,JIMMY NEWOB (24.87),6.64875,687,S  C4,4.8,SH,
4,3,33.90000,460,WGL,R8,01/05/2018,25.952,25.779,1.33,SURE TO EXCITE (25.86),6.5925,233,M  C1  SW,1.4,X45,
1,1,33.80000,460,WGL,R8,29/05/2018,25.727,25.727,4.64,SMALL ROSE (26.05),6.51,111,M,1.5,X45,
7,7,34.00000,515,SAP,R10,03/06/2018,30.625,29.499,13.29,GIVE ME WINGS (29.70),5.3855,7777,S  W  C4  V0,1.3,5H,
1,3,33.60000,425,BEN,R9,15/06/2018,23.723,23.723,2.46,ARE YOU (23.90),6.54,111,M,3,4,
7,2,34.20000,450,SHP,R8,21/06/2018,25.79,25.218,8.17,EXTRA GEAR (25.22),6.99175,888,M  C1  V7,1.7,X45,
1,7,34.10000,425,BEN,R9,01/07/2018,23.905,23.642,0.20,HONE IN (23.92),6.55,111,M  SW,2.6,SH,
8,1,33.60000,425,BEN,R7,06/07/2018,24.392,23.616,11.09,VANDERWORP (23.62),6.8245,888,M  W  C4  V14,10.5,GRP2,
1,8,33.90000,450,SHP,R8,02/08/2018,25.28,25.28,7.16,TUBARK (25.78),6.6825,211,M,1.2,X45,
1,6,34.10000,450,SHP,R7,13/08/2018,25.2,25.12,4.10,ASTON DUKE (25.49),6.6,111,M  SW,2.1,SH,
1,6,34.10000,450,SHP,R8,18/08/2018,25.161,25.161,4.37,ELEVATED (25.47),6.53,111,M  C1  SW,5.3,GRP2,
1,3,34.00000,300,HVL,R10,26/08/2018,16.56,16.56,3.50,BUGS BOLONEY (16.81),3.64125,5,S,1.5,X34,
2,1,33.70000,350,HVL,R8,02/09/2018,19.227,19.015,0.93,STARTRON (19.16),6.46,1,M  C1,1.2,SH,
4,5,34.00000,460,WGL,R8,09/10/2018,25.83,25.565,3.43,ALABAR (25.59),6.37,112,M,1.6,FFA,
3,4,34.00000,460,GEL,R5,19/10/2018,25.858,25.213,4.39,EMERALD RAINBOW (25.55),6.59425,432,M  C4,2.3,SH,
6,5,33.90000,515,SAN,R5,25/10/2018,30.069,29.395,7.99,DYNA OSCAR (29.51),5.29225,8876,S  C8  SW,4.1,S,
8,6,34.10000,515,SAN,R10,01/11/2018,30.268,29.183,13.61,MAURICE MINOR (29.32),5.2345,7668,S  C4,8.7,X45,
