Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
R,,,350,HVL,R1,29/03/2018,,19.201,-,ROUND NOSE (19.66),,,,0,M,
5,4,36.90000,450,BAL,R3,04/04/2018,26.073,25.084,9.27,MIRA'S POTION (25.42),6.867,555,M  C4,1.9,M,
R,,,450,BAL,R3,16/04/2018,,25.577,-,STAGGERISM (25.58),,,,0,M,
7,2,36.30000,460,WGL,R3,17/04/2018,27.05,25.541,14.24,IT'S A GLAMMA (26.05),6.955,688,M  C5,6.1,MH,
R,,,460,WGL,R1,24/04/2018,,25.5,-,WEEONA BONT (26.10),,,,0,MSF,
1,6,37.30000,450,BAL,R1,26/04/2018,25.979,25.178,0.03,ZIPPING GALON (25.98),6.899,611,M  C1,21.1,M,
R,,,460,GEL,R4,08/05/2018,,25.858,-,DYNA ARROW (25.86),,,,0,7,
4,7,37.00000,460,GEL,R5,10/05/2018,26.303,26.12,2.19,WISE LEWIS (26.15),7.04925,872,S  C1,13.8,RWAPM,
2,6,37.00000,460,GEL,R7,15/05/2018,26.215,25.781,6.20,BOTTOMS UP (25.78),6.96,652,M  SW,4.4,7,
4,2,37.00000,460,WGL,R1,22/05/2018,26.485,25.848,5.23,LIBBY'S DREAM (26.12),6.774,875,S  C2,13.5,7,
2,2,37.20000,450,BAL,R3,31/05/2018,25.86,25.421,1.87,MAXIMUM KACK (25.73),6.7895,443,M  C5,3.8,7APM,
2,6,37.90000,485,HOR,R4,05/06/2018,27.807,27.316,1.13,SHAMROCK VALLEY (27.73),6.818,765,M  C4,11.1,7,
5,7,37.90000,545,BAL,R7,13/06/2018,32.119,31.077,3.03,SLICK BREW (31.91),7.32,5555,S  C4,5.6,RW,
1,2,38.00000,485,HOR,R4,19/06/2018,27.693,27.325,0.60,NITRO VALUE (27.74),6.61325,532,M  C1,12.8,X67,
5,3,37.80000,520,CRN,R5,30/06/2018,31.339,30.243,7.01,SAVANNAH ICON (30.85),5.7925,7665,M  C8  SW,5,RW,
1,1,38.20000,485,HOR,R7,17/07/2018,27.72,27.527,5.84,JACOBITE JOSEPH (28.13),6.71,111,M,3.1,6G,
S,,,545,BAL,R8,25/07/2018,,31.081,-,MEPUNGA LASER (31.08),,,,0,X45,
S,,,545,BAL,R6,08/08/2018,,31.159,-,FAT RHINO (31.16),,,,0,X45,
4,2,38.00000,485,HOR,R8,04/09/2018,27.593,27.362,3.30,KRAKEN PACE (27.36),6.7445,543,M  C1,9.6,5,
