Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,3,25.00000,311,CRN,R2,08/07/2019,18.062,17.896,3.39,IT'S ALL LUCK (18.30),9.84,11,M,4.7,MAPM,
S,,,400,WGL,R9,16/07/2019,,22.686,-,JERUSALEM CREEK (22.93),,,,0,RW,
6,6,24.40000,400,WGL,R3,30/07/2019,23.3,22.581,8.57,WHODAT OPAL (22.70),8.685,56,M,5.2,7,
7,1,24.50000,400,WGL,R2,02/08/2019,23.547,22.7,8.59,JONATHAN'S ROSE (22.95),9.16,77,M  C7,5.3,X67,
R,,,515,SAN,R1,19/09/2019,,29.543,-,KAT'S HUGHY (29.75),,,,0,7,
3,6,24.50000,515,SAP,R5,22/09/2019,30.09,29.316,2.70,BANDWAGON (29.90),5.14,1112,M  C1,8,RWH,
5,7,24.50000,515,SAP,R12,29/09/2019,30.574,29.503,15.30,BANDWAGON (29.50),5.3225,6555,M  C4,22.1,RWF,
1,2,24.30000,515,SAP,R9,13/10/2019,29.683,29.557,2.06,BRONSKI BEAT (29.83),5.11,1211,M  C1,18.4,X67,
3,6,24.60000,515,SAP,R11,20/10/2019,30.122,29.554,2.46,PHILADELPHIA PIP (29.95),5.09,1112,Q  C1,15.4,RWH,
R,,,515,SAN,R1,24/10/2019,,29.252,-,GOLDEN NIGHT (29.67),,,,0,6G,
2,2,24.60000,460,WGL,R5,25/10/2019,25.895,25.738,2.24,SPRIGHTLY FABIO (25.74),6.48,111,Q  C4,2.7,X67,
S,,,460,WGL,R3,08/11/2019,,25.923,-,FATHER PHEVOS (25.94),,,,0,X67,
1,4,24.70000,400,WGL,R3,22/11/2019,22.551,22.551,1.20,STAR NIGHT (22.64),8.3775,22,M  C1,3.8,X67,
1,4,24.80000,525,MEP,R10,27/11/2019,29.952,29.804,5.41,ARLINGTON (30.33),5.07,1111,Q  SW,1.8,RWH,
1,1,25.30000,525,MEP,R5,04/12/2019,30.119,29.972,0.84,MODERN ICON (30.18),5.07,1111,M,1.2,RWF,
1,6,25.30000,515,SAP,R10,15/12/2019,29.419,29.33,6.93,FACING THE MUSIC (29.90),5.01,1111,M  SW,2.7,SH,
-,3,,515,SAN,R6,19/12/2019,,,-,,,,,,GRP2,
