Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,7,25.00000,515,SAP,R1,17/02/2019,30.214,29.629,0.54,LADY ORACLE (30.25),5.355,3322,M,2.6,M,
2,3,24.90000,515,SAP,R10,03/03/2019,29.931,29.447,6.91,SPEARHEAD (29.45),5.33,4222,S  C1,5.9,X67,
5,7,24.80000,525,MEA,R1,08/03/2019,31.055,29.669,13.04,HOT FINISH (30.14),5.312,5766,S  C7,5.8,7,
4,3,24.90000,525,MEA,R1,16/03/2019,30.638,29.744,5.46,DYNA SMOKEY (30.26),5.3565,6224,M  C4,19.1,7,
4,8,25.70000,460,GEL,R5,09/04/2019,26.613,26.117,4.27,MARAMBA (26.31),6.745,322,M  C4,3.2,RWAPM,
S,,,460,GEL,R5,16/04/2019,,25.874,-,KID LAVROS (26.05),,,,0,RWAPM,
3,3,26.10000,460,GEL,R5,23/05/2019,26.189,25.695,5.16,SHERIFF MAX (25.83),6.8025,434,M  C8,8.2,RW,
4,7,26.10000,515,SAP,R3,02/06/2019,30.284,29.639,5.64,MEPUNGA MAGGIE (29.89),5.2225,4556,M,12.3,X67,
5,3,26.10000,515,SAN,R1,06/06/2019,30.099,29.313,6.80,DRIFTIN' AWAY (29.62),5.235,5555,M  C6,23.9,7,
6,7,26.70000,515,SAN,R2,13/06/2019,31.274,29.528,21.94,CAPPY MORGAN (29.74),5.269,5666,M  C8  V7,33.8,7,
3,1,26.70000,460,GEL,R5,21/06/2019,25.958,25.664,3.91,MEPUNGA REMI (25.68),6.7625,332,M,9.1,RW,
2,1,26.40000,515,SAN,R1,27/06/2019,29.815,29.487,4.07,SONGS AN STORIES (29.53),5.2675,3222,M  C1,5,7,
3,4,26.10000,515,SAP,R9,07/07/2019,29.976,29.801,2.41,DEBBIE'S DESTINY (29.81),5.29925,6333,M  C6,6.2,X67,
3,6,25.70000,525,MEA,R1,13/07/2019,30.701,29.915,4.79,BABY EDEN (30.37),5.24,3433,M  C6,8,7,
3,8,25.90000,515,SAP,R10,21/07/2019,30.172,29.292,9.69,WEBLEC KING (29.49),5.255,3644,S  C9,6.3,X67H,
4,6,26.10000,460,GEL,R5,26/07/2019,26.091,25.519,3.67,FLO LAVA (25.83),6.9685,754,M,4.1,X67,
1,8,26.20000,525,MEA,R11,03/08/2019,30.534,29.71,1.69,GETTIN' BALE (30.65),5.1745,3311,M  C5,12.1,RW,
1,1,26.30000,525,MEA,R3,08/08/2019,30.145,29.997,0.83,ROPER RIVER JAKE (30.20),5.1575,2111,M  C1  SW,4.5,RW,
S,,,515,SAN,R4,15/08/2019,,29.255,-,DYNA ROMY (29.98),,,,0,5,
5,8,26.60000,595,SAP,R5,25/08/2019,34.889,34.303,8.37,SHE WILL BLOOM (34.30),9.3675,3344,M,11.5,X45,
5,3,26.30000,515,SAN,R9,05/09/2019,29.916,29.357,7.99,SWEET AS EMM (29.36),5.20425,8555,S  C1,53.6,5,
S,,,515,APK,R7,12/09/2019,,29.5,-,MISS BELLAWOOD (29.92),,,,,SH,
5,7,27.00000,460,GEL,R5,04/10/2019,26.041,25.607,6.20,MEPUNGA ISLA (25.61),6.64925,445,M  C1,36.5,SH,
4,1,26.80000,460,GEL,R6,10/10/2019,25.813,25.439,5.34,MEPUNGA ISLA (25.44),6.65,243,M  C4,21.2,SF,
7,4,26.70000,515,SAN,R10,17/10/2019,30.513,29.653,6.83,PRIORITY PASS (30.04),5.341,8876,M  C12,6.6,5,
5,1,26.70000,515,SAN,R11,24/10/2019,30.15,29.252,4.87,WINLOCK THOR (29.81),5.27125,7657,M  C10,4.2,5,
5,4,27.10000,600,MEP,R11,30/10/2019,35.349,34.337,5.34,MEPUNGA FRANKIE (34.98),9.545,5555,M  C12,3.6,5,
1,2,27.20000,600,MEP,R6,06/11/2019,34.401,34.401,4.69,EARN THE FRANK (34.73),8.94,1111,M,3.1,RW,
2,7,27.20000,600,MEP,R7,13/11/2019,34.801,34.529,3.89,WEBLEC EAGLE (34.53),9.12,1222,M  C1,8.7,RWH,
1,2,27.20000,520,GEL,R8,19/11/2019,29.943,29.943,2.70,ROGER EXPRESS (30.13),5.4635,2211,M  C1,1.4,X45,
7,1,26.80000,600,MEA,R2,23/11/2019,35.656,34.28,19.66,WEBLEC EAGLE (34.28),9.16,3667,M  C13  V0,2,RWF,
5,1,26.60000,525,MEA,R11,30/11/2019,30.614,29.786,8.50,MAS PLUM JAM (30.02),5.27325,8887,M  C5,5.1,5,
3,4,26.50000,595,SAN,R6,05/12/2019,34.552,34.261,4.16,JARO BALE (34.26),9.56,4444,S  C5,20.7,X45,
5,6,26.60000,515,SAP,R9,15/12/2019,30.047,29.33,9.30,WELSLY BALE (29.40),5.349,7755,M  C4,7.7,SH,
-,3,,595,SAN,R3,19/12/2019,,,-,,,,,,X45,
