Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,2,31.40000,440,SLE,R2,20/01/2019,25.198,24.766,1.19,SKIP A YONNIE (25.28),5.31,111,Q  C4  SW,3.7,M,
6,7,31.40000,390,BAL,R2,30/01/2019,23.021,22.129,11.51,WINLOCK NEWBOLT (22.22),8.737,76,M  C8,6.2,X67H,
3,2,31.80000,425,BEN,R2,08/02/2019,24.516,23.955,8.01,HARDAWAY WINNIE (23.96),6.855,323,M,3.5,7,
2,4,32.20000,425,BEN,R3,15/02/2019,24.238,23.802,1.94,VAMOOSH (24.10),6.53,111,M,9.3,X67H,
5,6,32.00000,425,BEN,R4,22/02/2019,24.377,23.718,9.41,HARDAWAY WINNIE (23.72),6.57,224,M  C1,20.2,X67F,
8,4,32.10000,400,WGL,R9,21/03/2019,23.701,22.688,13.94,SPACE ALERT (22.73),8.8585,88,M  C4  SW,3.1,7APM,
R,,,311,CRN,R3,27/03/2019,,17.673,-,KRAKEN RYE (17.85),,,,0,X67,
1,1,31.70000,311,CRN,R3,03/04/2019,18.32,17.552,2.73,TRIXIE'S ROCKET (18.51),10.065,32,S  C4,1.5,7,
2,3,31.50000,440,SLE,R3,07/04/2019,25.334,25.046,1.37,ASTON RUM (25.24),5.217,211,M  C1,4.1,X67,
2,8,31.40000,440,SLE,R10,14/04/2019,25.117,24.836,2.94,MINDY'S GIRL (24.91),5.4,322,M,6.7,RWH,
3,3,31.10000,440,SLE,R1,21/04/2019,25.161,24.781,1.89,ASTON RUM (25.03),5.22,112,M,17,RWF,
8,5,31.00000,440,SLE,R10,28/04/2019,25.675,24.806,2.96,SECRET SERVICE (25.47),5.53,534,M  C5,2.3,6G,
S,,,425,BEN,R2,04/05/2019,,23.625,-,MISS FIREBIRD (23.81),,,,0,X67,
2,8,31.30000,400,WGL,R9,14/05/2019,22.845,22.659,2.66,REGGIE KEEPING (22.66),8.3625,22,M,5.1,X67,
1,2,31.10000,440,SLE,R3,19/05/2019,25.428,24.962,0.43,,5.29,122,Q  SW,2.7,X67,
