Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,5,28.40000,460,WGL,R2,23/06/2018,26.625,25.913,0.46,GALLOPING NIKKI (26.59),6.91,654,M,5.7,M,
4,5,28.30000,520,CRN,R1,04/07/2018,31.461,30.567,11.96,RINGSIDE (30.62),5.764,6665,M  C6,5.3,M,
S,,,520,CRN,R1,11/07/2018,,30.396,-,TEMPERED (30.60),,,,0,M,
5,6,27.00000,460,WGL,R4,02/08/2018,26.99,26.171,7.27,NEW BEGININGS (26.48),6.84,247,M  C4,3.8,M,
2,6,27.20000,520,CRN,R2,12/09/2018,31.038,30.438,3.97,ROCK JOHNSON (30.76),5.6225,4444,M,6,MH,
6,4,27.80000,520,CRN,R3,19/09/2018,31.307,30.171,11.83,DUNDEE ACE (30.48),5.6875,6666,M  W  C9,21.7,MSF,
1,1,28.00000,595,SAP,R2,23/09/2018,34.655,34.193,8.31,DUNDEE JIVE (35.24),9.4,1111,M  SW,4.3,N7,
7,8,28.70000,600,MEP,R9,10/10/2018,35.719,34.819,9.04,DEWANA JAYDEN (35.09),9.468,6878,M  W  C1,6,N7,
5,1,28.30000,680,WGL,R7,16/10/2018,40.3,39.579,10.30,ZARBO HUSTLER (39.58),18.64,244,M  C3,9.1,RW,
2,3,28.80000,520,CRN,R1,28/11/2018,30.687,30.464,0.67,RIPPLEBROOK JESS (30.64),5.607,2222,M  C1,7,X67,
6,5,28.90000,515,SAP,R4,02/12/2018,30.32,29.572,6.79,CIRCLE OF DREAMS (29.85),5.3325,6666,M  C4,19.2,7,
7,7,29.30000,595,SAP,R2,09/12/2018,35.422,34.246,16.80,PEPPERTIDE (34.25),9.675,7777,Q  C12,27.8,RW,
4,5,29.30000,520,CRN,R5,14/12/2018,30.765,30.318,6.39,SHOWGIRL QUEEN (30.32),5.6455,6665,M  C1,7.2,X67,
2,1,29.30000,520,CRN,R8,24/12/2018,30.337,30.261,0.70,ZIPPING DION (30.29),5.5175,3222,M,9.5,X67,
5,4,29.20000,515,SAN,R1,27/12/2018,30.2,29.146,6.97,GRACE ALI (29.71),5.34,6656,M  C5,14.5,7,
3,3,29.80000,725,MEP,R4,02/01/2019,43.782,42.996,5.90,ROMANOVA (43.37),5.0025,2323,M  C4,8.1,RW,
5,6,29.50000,650,SHP,R6,10/01/2019,38.177,37.171,14.37,PEPPER SHIRAZ (37.17),18.5325,6665,M  C7,10.3,S,
1,4,29.90000,600,MEP,R3,23/01/2019,35.241,34.683,2.79,NICMAC PADDYWACK (35.44),9.17,1112,M  C4,8.2,N7,
5,6,29.30000,595,SAP,R4,10/02/2019,35.606,34.269,15.24,NICMAC PADDYWACK (34.54),9.6075,3365,M  C4,10.8,N7,
5,5,28.90000,699,CRN,R7,27/02/2019,42.209,41.775,6.20,ITA LOUISA (41.78),7.491,7567,M  C6,14.1,RW,
6,8,29.10000,699,CRN,R7,05/03/2019,42.231,41.386,12.07,IT'S A FRENZY (41.39),7.8375,7887,M  C4,22.2,RW,
3,2,29.40000,520,CRN,R4,11/03/2019,30.555,30.373,2.60,DEWANA HELP ME (30.37),5.5525,2333,Q  C4,9.3,RWAPM,
