Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,7,35.20000,440,SLE,R1,07/10/2018,24.979,24.78,1.76,BLISTERING (24.86),5.312,322,M,13.6,MH,
4,4,34.80000,440,SLE,R3,14/10/2018,25.251,24.644,5.97,JEBRYNAH HELIOS (24.83),5.527,544,M  C5,5.1,MF,
1,8,35.10000,440,SLE,R9,28/10/2018,24.991,24.975,5.07,WAR CREEK (25.35),5.33,111,Q,1.7,MH,
3,4,34.50000,440,SLE,R1,04/11/2018,25.682,24.726,5.96,OHANA LAD (25.27),5.3445,333,M  C4,1.6,MSF,
5,4,34.60000,440,SLE,R5,11/11/2018,25.87,24.81,5.41,OHANA LAD (25.49),5.5235,833,M  C4,1.8,MF,
4,7,34.60000,440,SLE,R2,25/11/2018,25.365,24.871,2.20,FINE FOR ME (25.21),5.4195,512,S  C4,2.9,X67H,
1,8,34.60000,425,BEN,R3,30/11/2018,23.887,23.71,4.61,,6.6,111,M  SW,2.4,X67,
1,6,34.40000,460,WGL,R2,11/12/2018,26.145,26.145,3.34,EXTREME SUMMER (26.38),6.6435,211,M  C4  SW,3.6,X67H,
4,5,34.50000,460,WGL,R4,18/12/2018,26.288,25.758,5.91,KNOCK THE CLOCK (25.87),6.80425,633,M  W  C8,2.2,X67F,
2,5,34.50000,500,BEN,R6,30/12/2018,28.593,28.018,3.33,ASTON RANZA (28.36),6.873,422,M  W  C6,3,RW,
2,8,34.60000,500,BEN,R3,05/01/2019,28.281,28.256,0.36,BACK BURN (28.26),6.7625,322,S,7.4,RWH,
5,2,35.30000,500,BEN,R5,11/01/2019,28.871,28.193,9.69,KRAKEN DUST (28.19),7.2275,654,M  W  C4,4.3,RWF,
2,3,34.80000,460,WGL,R3,22/01/2019,26.08,25.782,0.59,ZIPPING DION (26.04),6.7115,543,M  C8,1.4,RW,
4,6,34.70000,515,SAN,R11,31/01/2019,30.265,29.316,9.61,BLACK SIGNATURE (29.59),5.327,8884,M  C5,7.6,5,
1,3,34.90000,450,WBL,R6,07/02/2019,25.296,25.162,0.43,HANDSOME (25.33),6.79,222,S,2.5,RWH,
1,1,34.80000,450,WBL,R8,14/02/2019,25.451,25.32,0.23,DEALER WINS (25.47),6.884,631,M  C3  SW,3.3,RWF,
1,4,34.80000,460,WGL,R5,19/02/2019,25.816,25.805,3.29,KILPATRICK (26.05),6.705,421,S  W,3.4,S,
4,3,34.70000,525,MEA,R3,02/03/2019,30.14,29.581,3.43,CRIMSON VIXEN (29.90),5.2145,5332,S,9.2,S,
4,1,35.00000,455,MBR,R10,08/03/2019,25.75,25.47,2.25,EYE GOT IT (25.58),8.36,754,S/O754,6,O,
3,6,34.80000,455,MBR,R4,17/03/2019,26.03,25.61,2.25,NIRIMBA PIRATE (25.87),8.19,553,553,3.1,O,
4,6,34.80000,450,BAL,R5,27/03/2019,25.565,25.165,4.50,DAMNATION (25.25),6.80925,744,S,3.4,RWH,
8,1,35.10000,450,BAL,R9,03/04/2019,25.941,25.235,8.16,DAMNATION (25.37),6.8045,878,M  W  C8,6.1,RWF,
4,4,35.50000,525,MEP,R11,10/04/2019,30.501,29.922,4.00,DUKE OF BURNLEY (30.22),5.39925,8555,S  C1,2.4,5,
3,1,35.30000,515,SAN,R11,18/04/2019,30.045,29.378,2.47,WEEONA ROGER (29.87),5.35925,8554,S  C5,5.2,5H,
3,4,35.00000,515,SAN,R12,24/04/2019,29.888,29.33,4.70,RIDDLES (29.56),5.377,8333,S,7.1,5,
