Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
3,4,32.50000,440,SLE,R1,01/03/2019,25.836,24.846,5.01,CHASE'S ENTITY (25.49),5.537,564,M,5.1,M,
5,5,32.90000,440,SLE,R1,10/03/2019,25.7875,24.936,9.25,ZIPPING BERNI (25.14),5.5475,765,M  C5,4.7,M,
1,2,32.20000,440,SLE,R9,17/03/2019,25.621,24.772,1.17,WHY NOT GAZZA (25.70),5.52,342,M  C1,4.4,MH,
6,8,31.80000,440,SLE,R4,24/03/2019,25.45675,24.715,4.52,MAS PLUM JAM (25.14),5.5195,876,S  C1,55.2,MF,
6,3,31.90000,520,SLE,R5,29/03/2019,30.305,29.434,3.70,TAHLIA'S DIAMOND (30.05),10.025,677,M  C4,16.8,RW,
5,7,31.40000,460,WGL,R2,02/04/2019,26.488,25.729,10.14,BUBBLES (25.78),6.864,765,M  C4,44.1,X67H,
6,7,31.70000,440,SLE,R4,12/04/2019,25.817,25.098,5.19,TWICE BLESSED (25.45),5.5,776,S  C1,24.4,RW,
3,3,31.70000,400,WGL,R2,16/04/2019,23.009,22.46,4.99,BRAEMAR KEELIE (22.66),8.705,44,S,8.3,7,
5,6,32.00000,400,WGL,R2,23/04/2019,23.717,22.479,13.01,TALK TALK TALK (22.81),8.8535,77,S  C8,18.3,7,
A,6,31.90000,460,WGL,R3,26/04/2019,,,-,,,,,15,7,
2,7,32.30000,440,SLE,R9,03/05/2019,25.536,24.996,2.74,SODA MAXI (25.34),5.627,876,S  C4,9.3,RW,
8,8,32.00000,440,SLE,R4,05/05/2019,26.089,24.809,18.29,ASTON ASAHI (24.81),5.605,788,S  C7  V0,16.9,7,
3=,4,32.30000,520,SLE,R4,11/05/2019,30.245,29.74,1.07,GALWAY ICON (30.17),9.9775,554,M  C9,13.3,RW,
2,3,32.80000,440,SLE,R4,17/05/2019,25.618,25.342,1.24,SPRITELY MAC (25.53),5.512,653,M,7.3,RW,
7,6,32.80000,460,WGL,R6,21/05/2019,26.354,25.598,6.46,EYE WILL REIGN (25.90),6.899,888,S  C2,44.8,RWH,
4,4,33.00000,400,WGL,R2,24/05/2019,23.213,22.714,3.66,CHASE'S ENTITY (22.96),8.7345,56,M  C4,7.7,X67,
3,4,33.00000,440,SLE,R3,26/05/2019,25.439,24.769,6.34,NEO BALE (25.00),5.561,865,S  C4,16.5,X67H,
1,8,33.00000,650,SLE,R5,31/05/2019,37.947,37.947,0.37,ANGRY TRIP (37.97),6.322,6511,S  C5  SW,8.8,RW,
R,,,440,SLE,R4,02/06/2019,,24.894,-,HOT PIES (24.89),,,,0,X67F,
3,6,33.00000,515,SAN,R9,06/06/2019,29.961,29.313,4.61,ALL CONSUMING (29.64),5.2825,6665,M,76.2,RW,
4,1,33.30000,520,SLE,R9,09/06/2019,29.843,29.503,4.86,FLYING MOSS (29.50),9.84,554,M,3.5,RW,
2,4,32.80000,699,CRN,R7,12/06/2019,42.789,42.506,4.04,LIGHTWOOD LASS (42.51),7.9225,3222,M  C5,5.2,RW,
3,1,33.00000,680,WGL,R5,18/06/2019,39.761,39.599,1.13,LIGHTWOOD LASS (39.68),18.7175,332,M,8.8,SH,
2,6,33.20000,680,WGL,R8,25/06/2019,39.564,39.12,6.34,IT'S A FRENZY (39.12),18.9245,755,S  SW,24.9,SF,
2,6,33.50000,680,WGL,R5,02/07/2019,39.679,39.432,3.53,SPIN THE TROLLEY (39.43),18.89,444,S  C4,6,RW,
4,3,33.60000,650,SLE,R8,07/07/2019,37.88,37.376,7.20,IT'S A FRENZY (37.38),6.3375,4344,M  C1,28.6,S,
1,5,33.80000,650,SLE,R7,14/07/2019,38.629,38.629,0.06,EASY TASH (38.63),6.369,7754,M  C1  SW,2.1,RW,
3,8,33.80000,515,SAN,R2,18/07/2019,29.838,29.394,6.34,WAGING WAR (29.39),5.2925,5333,S  C4,26.5,RW,
2,2,33.90000,520,SLE,R6,21/07/2019,29.994,29.387,0.20,VELOCITY DORY (29.98),10.0945,665,M  C4,2.8,5,
6,8,33.60000,515,SAN,R9,25/07/2019,30.224,29.482,8.53,ZIPPING NORTON (29.63),5.3,5776,M  C7,27.9,5,
2,3,33.60000,520,SLE,R7,28/07/2019,29.836,29.827,0.13,VELOCITY DORY (29.83),9.945,764,M  C5,22,X45,
4,3,33.60000,595,SAN,R4,01/08/2019,34.648,33.977,5.40,FERNANDO'S RIOT (34.27),9.695,7774,S  C1,18.4,5,
2,7,33.60000,680,WGL,R6,10/08/2019,40.415,40.226,2.70,SHINING (40.23),19.16675,554,M  C5,5.2,RW,
8,7,33.40000,715,SAN,R5,15/08/2019,43.116,42.073,14.90,KIOMARA (42.07),6.355,5788,M  C1,9.2,5,
5,1,32.80000,520,SLE,R8,25/08/2019,30.04,29.876,2.34,ITALIAN PLASTIC (29.88),10.075,877,M  C4,14.5,X45,
7,1,32.70000,515,SAN,R9,29/08/2019,30.202,29.279,5.33,REIKO BOSS (29.83),5.38875,8888,M  C4,14.4,5,
1,4,32.70000,520,SLE,R5,01/09/2019,30.173,30.173,1.41,IMPENDING (30.27),9.917,553,M,3.9,5H,
2,6,32.90000,699,CRN,R5,04/09/2019,42.532,41.796,10.51,SPEEDY EVIE (41.80),7.7145,5422,M  C2,4.1,RW,
3,8,33.10000,520,SLE,R6,08/09/2019,30.222,29.698,7.49,FLYING MOSS (29.70),10.0945,755,S,3.9,5F,
3,6,32.90000,600,MEA,R5,14/09/2019,35.162,34.636,7.51,KRAKEN DOLL (34.64),9.4725,6545,M  C4  SW,7.6,X45,
3,2,33.10000,520,SLE,R8,19/09/2019,29.826,29.502,4.63,KING COLT (29.50),10.2315,886,M  C1,9.7,X45,
1,8,33.10000,650,SLE,R5,22/09/2019,37.467,37.467,1.43,CALLISTER (37.57),6.322,5322,S  C4  V14  SW,3.4,SH,
S,,,650,SLE,R6,29/09/2019,,37.613,-,CALLISTER (37.61),,,,0,SF,
6,4,33.50000,450,BAL,R7,09/10/2019,25.567,25.195,5.31,LOTS OF CHATTER (25.20),6.899,888,M  C1  SW,83.9,S,
4,6,33.80000,520,SLE,R5,13/10/2019,30.059,29.737,4.60,TEZZALENKO (29.74),10.03,876,S  C1,9.3,X45,
5,2,33.90000,600,MEA,R3,19/10/2019,34.742,34.437,4.36,RAJASTHAN (34.44),9.2875,5555,S,39.7,X45,
3,6,33.50000,595,SAN,R7,24/10/2019,34.549,33.989,8.00,ROPER RIVER JAKE (33.99),9.582,8865,M  C1,24.8,X45,
6,5,33.90000,595,SAN,R9,31/10/2019,35.242,33.986,17.94,WEARS WOODLEIGH (33.99),10.0525,8886,M  C4,8.3,5,
3,4,34.00000,715,SAN,R6,07/11/2019,42.644,42.195,6.41,BRONELLY JACOB (42.20),6.427,6765,S  C5,28.2,X45,
4,8,33.80000,715,SAN,R2,14/11/2019,42.503,42.154,4.99,TRUE DETECTIVE (42.15),6.29425,5554,M  C6,43.3,X45,
4,1,33.70000,600,MEA,R9,23/11/2019,35.006,34.28,4.89,WEBLEC JACK (34.66),9.36,5555,S  C5,8.8,5,
3,3,33.70000,725,MEA,R7,30/11/2019,43.185,43.023,1.59,WEETBIX JESTER (43.07),5.18675,5644,M  C2  SW,7.6,5H,
3,5,33.50000,725,MEA,R5,07/12/2019,43.352,43.042,4.43,HADARAH BALE (43.04),5.2455,7666,M  C6,6.8,5F,
3,2,33.70000,699,CRN,R5,11/12/2019,42.065,41.694,5.30,BANGA (41.69),7.645,5553,M,4.1,RW,
6,3,33.90000,650,SLE,R8,15/12/2019,37.764,36.981,11.19,RED ROCK (36.98),6.407,7777,M  C1,15.7,S,
