Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
1,7,31.80000,440,SLE,R1,05/11/2019,25.767,24.972,0.47,FRENCH SUGAR (25.80),5.4195,311,M  C1,4.1,M,
7,5,32.00000,440,SLE,R9,15/11/2019,26.316,24.88,15.27,SAD BUT TRUE (25.25),5.6145,677,M  C4,8.6,7,
7,3,31.80000,440,SLE,R3,24/11/2019,25.988,24.798,11.60,ASTON CAIRN (25.18),5.27,288,M  C4,44.7,7,
6,5,31.50000,440,SLE,R9,01/12/2019,26.369,24.916,12.00,CRAZY HAPPY (25.53),5.512,476,M  C8,18.1,7,
R,,,400,WGL,R9,03/12/2019,,22.612,-,THANDIE BALE (22.92),,,,0,RW,
R,,,440,SLE,R10,15/12/2019,,24.67,-,OKAWA EYE CANDY (24.97),,,,0,X67H,
