Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
5,4,31.50000,525,MEP,R1,19/06/2019,30.753,30.075,5.13,MOD SQUAD (30.39),5.245,5555,M  C4,29.6,MH,
6,5,31.20000,460,WGL,R2,02/07/2019,26.917,25.704,17.33,REVELATION (25.70),6.71025,547,M  C5,25.2,MH,
8,4,31.20000,515,SAP,R3,07/07/2019,31.185,29.801,18.64,MEPUNGA PEGASUS (29.88),5.315,6888,M  C4  V0,48.3,MH,
1,1,31.10000,400,WGL,R1,18/07/2019,23.153,22.744,5.00,ZIPPING KAY (23.50),8.57,11,M  C1,1.6,T3-M,
7,1,31.10000,460,WGL,R2,23/07/2019,28.021,27.187,11.91,TALULAH BALE (27.19),6.7745,565,S  C4,14.2,RW,
R,,,460,WGL,R3,02/08/2019,,25.908,-,MONTEY JACK (26.28),,,,0,X67,
7,1,31.10000,460,WGL,R6,06/08/2019,26.976,25.658,18.83,WEBLEC ACE (25.66),6.9975,777,M  C4,44.6,SH,
S,,,525,MEP,R3,07/08/2019,,30.043,-,STAR REIKO (30.26),,,,0,RW,
7,2,31.10000,515,SAP,R5,11/08/2019,30.826,29.589,10.47,DURANT (30.09),5.305,3878,M  W  C8,23.2,X67,
8,6,31.30000,525,MEP,R5,21/08/2019,31.429,30.061,19.54,COUTURE (30.06),5.22,3488,M  C1  V14,67.4,X67,
S,,,311,CRN,R4,02/10/2019,,17.754,-,BRAVE TRAVELLER (17.90),,,,0,X67H,
2,8,32.00000,400,WGL,R4,21/11/2019,23.196,22.797,5.70,ENTWINED (22.80),8.475,22,M,3.5,T3-7,
8,6,31.90000,400,WGL,R4,26/11/2019,23.278,22.494,9.23,GENTLEMAN THIEF (22.63),8.6305,78,M,46.4,X67,
S,,,311,CRN,R3,27/11/2019,,17.671,-,MYSTIC JAGUAR (17.77),,,,0,X67,
S,,,515,SAN,R10,29/11/2019,,29.358,-,ASTON PERIGNON (29.65),,,,0,X67,
7,4,31.90000,311,CRN,R4,11/12/2019,19.279,17.857,18.20,INUKA (18.01),10.5945,78,M  C11,15,7,
5,7,31.70000,515,SAP,R2,15/12/2019,30.985,29.33,14.04,ZIPPING WADE (30.00),5.235,3655,M  C5,41.2,X67,
-,5,,520,CRN,R5,18/12/2019,,,-,,,,,,RWH,
