Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,2,32.60000,431,IPS,R1,12/02/2019,25.32,25.29,0.50,EYE LINER (25.29),13.71,2,2,3.2,MH,
2,7,32.60000,431,IPS,R3,19/02/2019,25.51,25.22,0.10,IMMORTAL MAN (25.50),13.87,,,4.4,MF,
1,6,32.80000,431,IPS,R2,22/02/2019,25.5,25.13,0.75,RYLI'S DONATELLO (25.56),13.73,2,2,1.95,M,
1,1,32.50000,520,BGC,R3,04/03/2019,30.63,30.07,5.75,MERRIWA (31.04),5.77,31,31,3.3,NNP,
5,8,32.70000,520,BGC,R10,07/03/2019,30.64,29.96,4.00,NOAKI QUEEN (30.36),5.74,33,33,6,5,
5,2,32.40000,520,BGC,R6,11/03/2019,30.64,29.97,3.75,MAGIC GYPSY (30.37),5.78,44,44,8,X45,
1,8,32.80000,395,BGC,R5,08/04/2019,23.03,23.02,0.10,HAZE PURPLE (23.04),10.68,2,2,3.4,X45,
3,2,33.00000,395,BGC,R6,17/04/2019,23.2,22.7,5.25,FERNANDO BEE (22.82),10.87,3,3,2.8,5H,
S,,,395,BGC,R7,24/04/2019,,22.82,-,VELOCITY ZARIN (22.84),,,,,5F,
S,,,431,IPS,R4,10/05/2019,,25.11,-,KINSLEE (25.27),,,,,5,
3,1,33.40000,431,IPS,R9,25/05/2019,25.81,25.12,5.75,JO JO (25.41),14.17,5,5,2.7,5,
1,1,33.60000,431,IPS,R5,28/05/2019,25.27,25.1,4.25,PASSING NOVA (25.57),13.67,1,1,1.33,5,
4,1,33.50000,431,IPS,R6,14/06/2019,25.53,25.14,3.50,DOUBLE OAK (25.29),13.97,6,6,1.75,X45H,
4,4,33.20000,520,BGC,R8,19/06/2019,30.77,30.62,2.00,AMBY'S DREAM (30.62),5.64,22,22,9.5,5,
S,,,431,IPS,R7,21/06/2019,,25.13,-,DENEHOLME DASHER (25.13),,,,,X45F,
3,4,34.50000,331,BGC,R10,23/09/2019,19.37,19.31,0.75,STEALTHY NIGHT (19.31),7.31,3,3,4.2,X45,
5,2,34.30000,331,BGC,R10,30/09/2019,19.43,18.91,7.50,BLUE PRINT (18.91),7.33,6,6,4.6,X45,
2,5,33.90000,331,BGC,R10,07/10/2019,19.3,18.96,4.75,STATUE SIS (18.96),7.4,6,6,8,5,
S,,,431,IPS,R5,11/10/2019,,25.05,-,TURNKEY CREEK (25.05),,,,,5H,
1,5,33.20000,400,WGL,R5,29/10/2019,22.788,22.413,1.96,DR. SUMMER (22.93),8.3575,22,M  C1  SW,4.1,5,
3,5,33.00000,350,HVL,R5,17/11/2019,19.801,19.173,1.09,ATLAS SHIRALEE (19.73),6.6795,5,M  C1,3.1,5,
2,1,32.70000,400,WGL,R9,06/12/2019,22.822,22.563,0.53,JUST LOVE (22.79),8.4525,23,M,3,X45,
6,2,32.30000,440,SLE,R12,15/12/2019,25.823,24.67,11.99,SEGOVIA'S DREAM (24.98),5.365,387,M  C4,7.5,5,
