Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
2,3,31.30000,515,SAP,R10,29/09/2019,30.458,29.503,0.40,SCATTERBOX (30.43),5.3075,6333,M  C4,1.8,MH,
3,4,31.30000,515,APK,R2,11/10/2019,30.65,29.4,8.00,CASTLE RUINS (30.09),4.58,35533,3CD/D5533VNAI,1.75,M,
2,2,31.50000,515,SAP,R1,20/10/2019,30.063,29.554,1.46,NADALI (29.96),5.2425,2222,M,2.4,M,
3,8,31.60000,515,SAP,R1,27/10/2019,29.952,29.586,5.23,SPECIAL TALENT (29.59),5.21925,3333,M  C1,8.3,MH,
R,,,515,SAN,R1,31/10/2019,,29.075,-,ZEN PRINCE (29.67),,,,0,MF,
2,3,31.70000,525,MEP,R1,06/11/2019,30.522,29.817,1.73,MISS WONDERLAND (30.40),5.2925,2222,M  R  C5  V0,2.3,MH,
4,4,31.70000,525,MEA,R1,16/11/2019,30.618,29.879,6.57,PAIR OF NINES (30.16),5.23,4444,M  C8,8.9,MF,
3,6,31.80000,460,GEL,R1,10/12/2019,26.529,26.052,0.99,CHEROKEE CAT (26.46),6.875,653,M  C5,1.6,M,
4,4,31.70000,515,SAP,R1,15/12/2019,30.606,29.33,5.73,ASTON SPINEL (30.21),5.276,5544,M  C9,3.9,M,
