Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
4,1,30.50000,515,SAP,R4,13/05/2018,30.238,29.57,4.69,COOL COCO (29.91),5.3405,5333,M  C1,13.7,MH,
4,7,30.20000,515,SAP,R1,20/05/2018,30.852,29.553,14.50,IT'S A DANGER (29.84),5.3685,6544,M  C10,45.3,M,
1,2,30.20000,515,SAP,R1,27/05/2018,30.304,29.572,0.29,HILL TOP HOOD (30.32),5.22,1112,M  C1  SW,6.8,M,
5,4,30.10000,525,TRA,R4,01/06/2018,31.754,30.651,12.70,OHANA SPARKLES (30.87),5.0915,8655,S  C5,4.7,X67,
5,6,30.10000,515,SAP,R10,10/06/2018,30.657,29.714,12.71,ROCKET TEARS (29.77),5.4595,8766,S  W  C12,35.7,7,
7,5,29.70000,515,SAP,R3,17/06/2018,30.566,29.501,13.81,DOUBLE QUE (29.60),5.377,7566,M  C9,35.9,X67H,
6,4,29.60000,525,TRA,R4,22/06/2018,31.715,30.751,7.60,LETHAL LOMAR (31.18),5.0495,5666,M  C7,8,RW,
R,,,525,TRA,R3,02/07/2018,,30.91,-,RAJASTHAN (30.91),,,,0,RW,
5,3,29.00000,460,WGL,R7,10/07/2018,26.597,25.544,5.80,KARAKA (26.19),6.7545,444,M  C6,32.9,X67,
6,8,29.40000,595,SAP,R2,15/07/2018,35.412,34.477,8.47,PRETTY SENSATION (34.82),9.8635,8766,M  C5,21.3,RW,
R,,,595,SAP,R2,22/07/2018,,34.069,-,CELESTIAL JEWEL (34.60),,,,0,N7,
2,3,29.40000,595,SAP,R4,29/07/2018,34.874,34.125,4.86,ROCKIN' JOE (34.53),9.21,1112,Q,38.7,RW,
1,8,29.80000,525,TRA,R5,06/08/2018,31.131,30.848,1.20,ELPHABA OZ (31.22),4.89,1111,M  C8,2.1,T3-RW,
5,3,29.80000,525,TRA,R9,10/08/2018,31.197,30.286,8.96,I'M THE POPPET (30.57),5.05,8655,S  C8,18.1,RW,
4,6,29.90000,595,SAN,R11,16/08/2018,34.837,34.072,5.07,RADIANT ANGEL (34.48),9.5885,6333,M  C2,67.6,RWH,
6,6,29.60000,595,SAP,R4,26/08/2018,35.168,34.392,10.63,NEVER DUPLICATED (34.42),9.3945,4233,M  C7,31,RWAPM,
2,5,29.80000,525,TRA,R7,01/09/2018,30.892,30.483,2.71,VANDAGAMBO (30.70),4.8525,2222,M  C4,17.4,X67,
5,6,29.50000,525,TRA,R5,07/09/2018,31.785,30.654,16.16,SOOKI LA RICO (30.65),4.936,3233,M  C5,20.9,RWH,
R,,,525,TRA,R6,14/09/2018,,30.685,-,VANDAGAMBO (30.72),,,,0,RWF,
3,7,29.80000,525,TRA,R5,21/09/2018,30.911,30.718,2.76,COLORADO (30.72),4.897,2222,M  C2,12.1,RW,
1,1,30.10000,595,TRA,R4,28/09/2018,35.107,34.863,1.31,ZIPPING DOZER (35.20),8.53,1111,Q  SW,1.7,RW,
1,2,30.20000,525,TRA,R6,05/10/2018,30.654,30.407,3.16,RINGSIDE (30.88),4.9435,4211,M  C1,13.5,S,
5,1,30.60000,525,MEP,R3,17/10/2018,30.478,29.934,2.77,COME HOME (30.28),5.2445,6444,Q  C1,11,SH,
A,6,,525,TRA,R8,25/10/2018,,,-,,,,,8,FFA,
S,,,520,CRN,R5,02/11/2018,,30.308,-,FULL TILT (30.72),,,V7,0,5,
3,7,30.70000,515,SAP,R3,09/12/2018,30.051,29.316,4.11,SOUTH SERPENT (29.76),5.27,6644,S  C4,16.5,5,
A,6,30.90000,515,SAP,R10,16/12/2018,,29.485,-,,,,M,16,5H,
4,1,30.80000,515,SAP,R5,23/12/2018,29.928,29.333,2.64,BOLD (29.74),5.2475,4223,Q,5.6,RWH,
5,8,30.90000,515,SAN,R4,27/12/2018,30.187,29.146,10.20,BOLD (29.47),5.28425,4666,S  C8,13,RWF,
5,8,31.00000,515,SAN,R11,10/01/2019,30.222,29.524,5.21,HUNKAPAPA (29.86),5.2945,6555,M  C4,28.8,5,
2,1,31.40000,515,SAN,R10,17/01/2019,29.906,29.579,4.67,VALENCIA GEM (29.58),5.135,2222,M,3.7,5,
6,4,31.50000,515,SAN,R12,24/01/2019,30.177,29.6,6.24,COSMIC COLLINDA (29.74),5.2925,5566,M  C5,12.4,5,
5,3,31.50000,515,SAN,R11,31/01/2019,30.401,29.316,11.56,BLACK SIGNATURE (29.59),5.3095,7755,M  C12,35.9,5,
1,2,31.50000,515,SAN,R1,07/02/2019,30.1,29.326,0.91,ISHMY GIRL (30.16),5.38325,8432,S,6.6,5,
6,2,31.40000,595,SAN,R3,14/02/2019,34.852,34.096,6.54,QUIP ALLEN (34.39),9.4795,5466,S  C4  SW,20.4,5,
4,4,31.60000,595,SAN,R9,21/02/2019,34.792,34.09,1.44,WHOOMPH (34.69),9.23,1111,M  C1,38.6,5,
1,3,31.60000,595,SAN,R2,28/02/2019,34.799,34.244,0.20,PAGAN DANCER (34.81),9.22,1111,Q  C5  SW,10.6,5,
7,5,31.20000,525,MEA,R9,11/05/2019,30.932,29.718,13.94,LAST HURRAH (29.96),5.214,5777,M  C13,39.5,5,
2,1,31.10000,515,SAP,R10,19/05/2019,29.943,29.53,0.91,WINLOCK NEWBOLT (29.88),5.215,2221,M,11,5,
6,8,31.10000,515,SAP,R8,26/05/2019,30.416,29.448,13.83,START A RIOT (29.45),5.202,4556,M  C2,39.4,X45,
5,6,30.80000,595,SAP,R7,02/06/2019,35.048,34.519,3.67,VENS REVENGE (34.79),9.3175,4245,M  C4,23.2,5H,
2,8,30.60000,595,SAP,R7,09/06/2019,34.912,34.571,0.19,DESTROYER (34.90),9.53,1111,Q  C2  SW,6.3,X45,
6,1,30.50000,595,SAP,R9,16/06/2019,34.728,34.374,4.44,ANNIE LAVA (34.42),9.2575,2134,M,7.9,X45,
2,5,30.50000,595,SAP,R6,23/06/2019,34.839,34.535,2.67,PERFECT MARSHALL (34.65),9.36,1112,M  C2,33.5,5H,
2,2,30.50000,595,SAN,R5,27/06/2019,34.511,34.179,3.07,PERFECT MARSHALL (34.30),9.16,1112,M  C1,23.6,5F,
3,7,30.50000,595,SAP,R7,07/07/2019,34.924,34.076,12.11,EXTREME JUSTICE (34.08),9.4275,3333,M  C5,8.6,5,
4,1,30.00000,595,SAN,R7,18/07/2019,35.004,34.093,5.33,STEINBRENNER (34.63),9.24,1113,M  C6,13.9,X45,
7,4,30.20000,595,SAN,R6,25/07/2019,36.042,34.653,15.61,GO SEEK FERNANDO (34.95),10.21675,7777,M  C11,51.6,X45,
5,4,30.40000,520,CRN,R4,31/07/2019,31.297,30.469,9.37,BUBBLES (30.64),5.68,5554,M  C6,7.3,RWH,
R,,,520,CRN,R8,07/08/2019,,30.115,-,DEX'S AFFAIR (30.76),,,,0,RWF,
5,4,30.40000,595,SAP,R6,11/08/2019,34.933,34.245,6.27,MAXIMUM BREW (34.49),9.33,1444,M  C2,41.1,5H,
7,4,30.70000,595,SAN,R7,15/08/2019,34.876,34.214,7.50,LUCY'S MILO (34.35),9.257,3456,M,74.8,X45,
3,2,30.70000,595,SAP,R5,25/08/2019,34.569,34.303,3.80,SHE WILL BLOOM (34.30),9.21,1222,M,68.9,X45,
R,,,595,SAN,R8,29/08/2019,,34.25,-,LUCY'S MILO (34.25),,,,0,X45,
2,6,30.80000,595,SAP,R7,02/09/2019,34.81,34.448,2.66,HUNKAPAPA (34.62),9.5475,3222,M  C4,3.9,5,
3,3,30.50000,595,SAP,R8,12/09/2019,34.715,34.489,3.23,TAUWITCHERE (34.49),9.24,1112,M,24.6,X45,
3,7,30.40000,595,SAN,R7,19/09/2019,34.472,34.278,2.77,DYNA GARNER (34.28),9.2025,2222,M  C5,42.5,X45,
5,8,30.90000,595,SAN,R7,26/09/2019,34.651,34.265,5.51,MAXIMUM BREW (34.27),9.3075,4455,Q  C1,26.3,X45,
5,4,31.00000,595,SAN,R8,03/10/2019,34.795,34.303,7.03,KRAKEN DOLL (34.30),9.415,5555,M  C5,39.1,5,
1,2,31.20000,595,SAN,R7,10/10/2019,34.534,34.534,0.36,GO SEEK HEIDI (34.56),9.18,1111,M  SW,7.5,X45,
7,1,31.00000,595,SAN,R9,17/10/2019,35.353,34.705,9.26,ASTON PEREGRINE (34.71),9.3245,3566,Q  C5,44.9,X45,
5,2,31.20000,595,SAN,R7,24/10/2019,34.729,33.989,10.57,ROPER RIVER JAKE (33.99),9.12,1122,Q  C1,18.5,X45,
3,8,31.40000,595,SAN,R9,31/10/2019,34.677,33.986,9.87,WEARS WOODLEIGH (33.99),9.265,2223,M,15.2,5,
7,4,31.20000,595,SAN,R7,07/11/2019,35.246,34.387,12.27,KRAKEN DOLL (34.39),9.2425,3566,M  C9,46.1,X45,
6,6,31.00000,400,WGL,R9,06/12/2019,23.329,22.563,7.77,JUST LOVE (22.79),8.6625,66,M  C8,10.2,X45,
6,3,31.20000,400,WGL,R12,10/12/2019,23.17,22.256,6.50,NEWTOWN ANGEL (22.72),8.69525,67,M  C5,23.2,5,
