Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
5,2,24.10000,440,SLE,R4,17/03/2019,25.803,24.772,7.47,DR. LIANA (25.28),5.525,566,S  C4,4.4,MH,
4,1,23.10000,350,HVL,R3,31/03/2019,19.982,19.003,6.34,SECRET PACKAGE (19.54),6.8725,5,S  W,7.1,MH,
S,,,425,BEN,R2,12/04/2019,,23.754,-,JOKER'S MATE (24.41),,,,0,MH,
2,7,24.30000,440,SLE,R2,26/07/2019,25.546,25.14,4.07,DOUBLE 'EM UP (25.26),5.5895,722,S,3.8,M,
5,7,24.10000,440,SLE,R1,11/08/2019,25.991,24.841,11.24,STRIKING TIGER (25.20),5.489,655,M  C5,3.3,M,
4,4,23.90000,525,MEP,R4,14/08/2019,30.626,30.037,4.06,NORDEGREN (30.34),5.235,3333,S  C6,42.7,MH,
2,8,24.00000,525,MEP,R1,21/08/2019,30.545,30.061,1.97,POTENTE ROCKS (30.41),5.28925,3222,S,1.7,M,
3,2,24.30000,440,SLE,R2,01/09/2019,25.699,24.85,5.46,MINTER SPARKLE (25.32),5.7745,753,M  C8,2,M,
3,6,24.40000,440,SLE,R1,05/09/2019,25.64,24.987,4.73,DUNDEE JESTER (25.31),5.6835,745,S  W,3.6,M,
3,3,24.00000,525,MEP,R4,11/09/2019,30.661,29.929,10.46,WHO TOLD STEVIE (29.93),5.282,5433,M  C4,20.2,MH,
S,,,520,SLE,R2,15/09/2019,,29.795,-,LOUFIE (30.16),,,,0,M,
S,,,525,MEA,R1,21/09/2019,,30.069,-,CHUN LI (30.32),,,,0,MF,
2,6,24.50000,440,SLE,R2,13/10/2019,25.696,24.828,3.86,LIGHTING SHOW (25.43),5.5045,512,M,3.4,M,
6,4,24.50000,440,SLE,R4,20/10/2019,25.853,25.027,10.36,ASTON CAIRN (25.13),5.662,766,M  C8,4.1,MH,
S,,,440,SLE,R3,03/11/2019,,24.828,-,QUICK PAWS (25.12),,,V0,0,MH,
1,4,25.00000,440,SLE,R3,15/11/2019,25.544,24.88,1.13,PEDDA PAL (25.62),5.36,111,M  W,2.7,M,
5,8,25.00000,440,SLE,R9,29/11/2019,25.919,24.953,12.79,DR. HEADLEY (25.02),5.52425,556,S  W,9.5,X67,
6,1,24.80000,440,SLE,R4,15/12/2019,25.614,24.67,11.91,STIRLING LIGHTS (24.78),5.4795,655,S  W  C1,26,X67H,
