Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
4,2,35.00000,300,HVL,R1,06/10/2019,16.93,16.687,2.17,WORTHY PRINCE (16.78),4.02175,4,S,11.8,M,
3,6,35.20000,350,HVL,R2,13/10/2019,19.711,19.221,0.69,ALL INN REDMAN (19.66),6.7325,3,S  C1,4.3,MH,
5,3,35.50000,350,HVL,R3,20/10/2019,19.996,19.204,4.67,CAL'S GIRL (19.67),6.77,3,M  C4,16.1,MF,
S,,,390,SHP,R3,24/10/2019,,22.033,-,EUCHRE JOHN (22.32),,,,0,MH,
5,5,35.50000,390,SHP,R2,31/10/2019,23.313,22.313,10.49,DEFENDANT (22.58),8.58,16,M,3.5,T3-RW,
S,,,350,HVL,R1,03/11/2019,,19.031,-,RIPPER RICOLINA (19.33),,,,0,RW,
R,,,390,SHP,R2,14/11/2019,,21.875,-,LIL GUS (22.62),,,,0,M,
1,6,35.40000,390,SHP,R1,18/11/2019,22.342,22.149,0.50,ALL INN MIA (22.38),8.42,11,M  C1,4,T3-M,
5,7,35.70000,450,SHP,R3,23/11/2019,26.027,25.283,5.51,LOUD SHOUT (25.64),6.5775,211,M  C2,6.9,X67,
R,,,425,BEN,R4,30/11/2019,,23.965,-,KAT'S JERRY (24.25),,,,0,X67,
5,7,35.80000,390,SHP,R3,06/12/2019,22.923,22.263,7.41,DOUBLE GLAZE (22.40),8.51175,33,M,15.2,X67H,
1,4,36.00000,425,BEN,R9,11/12/2019,24.522,24.214,0.03,STRIDE FOR PRIDE (24.52),6.58,111,M,2.6,T3-7,
S,,,425,BEN,R9,13/12/2019,,23.652,-,ORIENTAL JADE (23.91),,,,0,X67H,
S,,,350,HVL,R3,15/12/2019,,19.042,-,THUNDERBOLT JACK (19.26),,,,0,7,
