Pl,Box,Wght,Dist,Trk,Race,Date,Time,BON,Mgin,1st/2nd(Time),Split1,PIR,Comment,S/P,Grade,Hcap
6,7,27.30000,400,WGL,R1,12/11/2019,23.772,22.487,12.23,CYCLONE ARROW (22.92),8.702,55,M  R  C4,28.7,M,
8,3,27.20000,400,WGL,R1,19/11/2019,23.538,22.533,14.27,EXPOSURE (22.54),8.6955,68,M  C4,49.8,MH,
5,8,27.60000,440,SLE,R2,24/11/2019,26.09,24.798,9.46,LETHAL IMAGE (25.43),5.4845,555,M  C1,31,M,
2,2,27.60000,400,WGL,R2,28/11/2019,23.253,22.948,1.03,LAMOTTA (23.18),8.53,12,Q,8.6,T3-M,
5,6,27.60000,400,WGL,R2,05/12/2019,23.504,22.888,8.09,PHOENIX DRIVE (22.94),8.6695,66,Q  C9,11.4,T3-M,
R,,,440,SLE,R2,15/12/2019,,24.67,-,FRANKIE FEVER (25.19),,,,0,M,
-,5,,400,WGL,R1,19/12/2019,,,-,,,,,,T3-M,
